source_id,claim,value,unit,as_of,retrieved_at,source_type,source_url_or_path,reliability_note,destination
YAHOO-BFLY-PRICE,BFLY last close on/before 2026-07-04,7.68,USD,2026-07-02,2026-07-04,B1,https://query1.finance.yahoo.com/v8/finance/chart/BFLY?range=1y&interval=1d,Yahoo chart API independently re-fetched by Runner; confirmed 0.0% delta vs stockanalysis.com,EVIDENCE
STOCKANALYSIS-BFLY,BFLY last close cross-check,7.68,USD,2026-07-02,2026-07-04,B1,https://stockanalysis.com/stocks/bfly/,Independent Runner fetch; matches Yahoo exactly,EVIDENCE
YAHOO-BFLY-PRICE,BFLY previous close (2026-07-01),7.93,USD,2026-07-01,2026-07-04,B1,https://query1.finance.yahoo.com/v8/finance/chart/BFLY?range=1y&interval=1d,Consistent with stockanalysis previous-close field,EVIDENCE
YAHOO-BFLY-PRICE,BFLY 52-week high (intraday),9.69,USD,2026-06-29,2026-07-04,B1,https://query1.finance.yahoo.com/v8/finance/chart/BFLY?range=1y&interval=1d,Computed by Runner from full 1y daily OHLC series; cross-checked stockanalysis.com same value,EVIDENCE
STOCKANALYSIS-BFLY,BFLY 52-week high cross-check,9.69,USD,2026-06-29,2026-07-04,B1,https://stockanalysis.com/stocks/bfly/,52-Week Range field shows 1.32 - 9.69; matches Yahoo-derived value exactly,EVIDENCE
YAHOO-BFLY-PRICE,BFLY 52-week low (intraday),1.32,USD,2025-08-08,2026-07-04,B1,https://query1.finance.yahoo.com/v8/finance/chart/BFLY?range=1y&interval=1d,Computed by Runner from full 1y daily OHLC series,EVIDENCE
STOCKANALYSIS-BFLY,BFLY 52-week low cross-check,1.32,USD,2025-08-08,2026-07-04,B1,https://stockanalysis.com/stocks/bfly/,Matches Yahoo-derived value exactly,EVIDENCE
STOCKANALYSIS-BFLY,BFLY shares outstanding,261.64,M shares,2026-07-02,2026-07-04,B1,https://stockanalysis.com/stocks/bfly/,Combined Class A + Class B; consistent with 10-Q cover count trend,EVIDENCE
BFLY-10Q-Q1-2026,BFLY Class A shares outstanding (10-Q cover),234842768,shares,2026-04-20,2026-07-04,A1,https://www.sec.gov/Archives/edgar/data/1804176/000180417626000016/bfly-20260331.htm,10-Q cover page count,EVIDENCE
BFLY-10Q-Q1-2026,BFLY Class B shares outstanding (10-Q cover),26426937,shares,2026-04-20,2026-07-04,A1,https://www.sec.gov/Archives/edgar/data/1804176/000180417626000016/bfly-20260331.htm,10-Q cover page count; unchanged since 2021 merger (Rothberg only),EVIDENCE
BFLY-10K-FY2025,BFLY Class A shares outstanding (10-K cover),228205930,shares,2026-02-19,2026-07-04,A1,https://www.sec.gov/Archives/edgar/data/1804176/000180417626000009/bfly-20251231.htm,10-K cover page count; +6.6M shares (+2.6M in ~2mo to 10-Q cover date),EVIDENCE
STOCKANALYSIS-BFLY,BFLY market cap at $7.68,2010000000,USD,2026-07-02,2026-07-04,B1,https://stockanalysis.com/stocks/bfly/,261.64M x 7.68 = 2009.2M; matches within 0.05%,EVIDENCE
STOCKANALYSIS-BFLY,BFLY short interest pct of float,13.44,pct,2026-07-04,2026-07-04,B1,https://stockanalysis.com/stocks/bfly/statistics/,Settlement-date lag inherent to short-interest reporting; 25.87M shares short,EVIDENCE
BFLY-MKTDATA-AGENT,BFLY analyst consensus price target (avg of 5),7.06,USD,2026-06-26,2026-07-04,B2,agent synthesis of stockanalysis.com forecast page,"Range $5.25-$11; Craig-Hallum/William Blair/TD Cowen/Lake Street +1; below as_of price 7.68",EVIDENCE
BFLY-10K-FY2025,Business combination (SPAC merger) completion date,2021-02-12,date,2021-02-12,2026-07-04,A1,https://www.sec.gov/Archives/edgar/data/1804176/000180417626000009/bfly-20251231.htm,Formerly Longview Acquisition Corp.; Legacy Butterfly founded 2011,EVIDENCE
BFLY-10K-FY2025,Rothberg total voting power,71,pct,2025-12-31,2026-07-04,A1,https://www.sec.gov/Archives/edgar/data/1804176/000180417626000009/bfly-20251231.htm,"Class B (20 votes/share), 100% held by Dr. Rothberg",EVIDENCE
BFLY-10K-FY2025,Class B automatic conversion sunset date,2028-02-12,date,2025-12-31,2026-07-04,A1,https://www.sec.gov/Archives/edgar/data/1804176/000180417626000009/bfly-20251231.htm,"7 years post-merger hard sunset absent earlier voluntary/threshold conversion",EVIDENCE
BFLY-10K-FY2025,Patents issued + pending,665,count,2026-02-25,2026-07-04,A1,https://www.sec.gov/Archives/edgar/data/1804176/000180417626000009/bfly-20251231.htm,"US + EU/UK; expiration 2030-2046",EVIDENCE
BFLY-10K-FY2025,Employee count,220,count,2026-01-31,2026-07-04,A1,https://www.sec.gov/Archives/edgar/data/1804176/000180417626000009/bfly-20251231.htm,"~180 US / ~40 international",EVIDENCE
BFLY-8K-FY2025-ER,FY2025 total revenue,97610,USD thousands,2025-12-31,2026-07-04,A1,https://www.sec.gov/Archives/edgar/data/1804176/000180417626000007/bfly-20260226xexx991.htm,"+19.0% YoY from $82056K; cross-checked vs 10-K statements exactly",EVIDENCE
BFLY-8K-FY2025-ER,FY2025 product revenue,63443,USD thousands,2025-12-31,2026-07-04,A1,https://www.sec.gov/Archives/edgar/data/1804176/000180417626000007/bfly-20260226xexx991.htm,"65.0% of total revenue; +17.1% YoY",EVIDENCE
BFLY-8K-FY2025-ER,FY2025 software and other services revenue,34167,USD thousands,2025-12-31,2026-07-04,A1,https://www.sec.gov/Archives/edgar/data/1804176/000180417626000007/bfly-20260226xexx991.htm,"35.0% of total revenue; +22.7% YoY, driven by Butterfly Embedded",EVIDENCE
BFLY-8K-FY2025-ER,FY2025 GAAP gross margin,46.9,pct,2025-12-31,2026-07-04,A1,https://www.sec.gov/Archives/edgar/data/1804176/000180417626000007/bfly-20260226xexx991.htm,"Depressed by one-time $17.4M E&O inventory charge (17.8% of revenue)",EVIDENCE
BFLY-8K-FY2025-ER,FY2025 adjusted gross margin (ex E&O charge),64.9,pct,2025-12-31,2026-07-04,A1,https://www.sec.gov/Archives/edgar/data/1804176/000180417626000007/bfly-20260226xexx991.htm,"Up from 59.6% FY2024; company-reported non-GAAP reconciliation",EVIDENCE
BFLY-8K-FY2025-ER,FY2025 excess and obsolete inventory charge (one-off),17400,USD thousands,2025-12-31,2026-07-04,A1,https://www.sec.gov/Archives/edgar/data/1804176/000180417626000007/bfly-20260226xexx991.htm,"Due to technological advancements in underlying components and product-portfolio changes",EVIDENCE
BFLY-8K-FY2025-ER,FY2025 net loss,77064,USD thousands,2025-12-31,2026-07-04,A1,https://www.sec.gov/Archives/edgar/data/1804176/000180417626000007/bfly-20260226xexx991.htm,"-79.0% of revenue, improved from -88.3% FY24 / -202.9% FY23",EVIDENCE
BFLY-8K-FY2025-ER,FY2025 adjusted EBITDA,-26527,USD thousands,2025-12-31,2026-07-04,A1,https://www.sec.gov/Archives/edgar/data/1804176/000180417626000007/bfly-20260226xexx991.htm,"Improved 32% from -38875K FY2024",EVIDENCE
BFLY-8K-FY2025-ER,FY2025 net loss per share,-0.31,USD,2025-12-31,2026-07-04,A1,https://www.sec.gov/Archives/edgar/data/1804176/000180417626000007/bfly-20260226xexx991.htm,"Weighted-avg 247.12M shares; two-class method",EVIDENCE
BFLY-8K-FY2025-ER,Q4 2025 total revenue,31514,USD thousands,2025-12-31,2026-07-04,A1,https://www.sec.gov/Archives/edgar/data/1804176/000180417626000007/bfly-20260226xexx991.htm,"Record quarterly revenue, +41% YoY",EVIDENCE
BFLY-8K-FY2025-ER,Q4 2025 operating cash flow,6300,USD thousands,2025-12-31,2026-07-04,A1,https://www.sec.gov/Archives/edgar/data/1804176/000180417626000007/bfly-20260226xexx991.htm,"First-ever positive operating cash flow quarter in company history",EVIDENCE
BFLY-8K-FY2025-ER,FY2025 cash and cash equivalents (YE),150489,USD thousands,2025-12-31,2026-07-04,A1,https://www.sec.gov/Archives/edgar/data/1804176/000180417626000007/bfly-20260226xexx991.htm,"Up from 88775K YE2024, aided by Jan-2025 81M raise",EVIDENCE
BFLY-10K-FY2025,FY2025 accumulated deficit,879194,USD thousands,2025-12-31,2026-07-04,A1,https://www.sec.gov/Archives/edgar/data/1804176/000180417626000009/bfly-20251231.htm,"Balance sheet line item",EVIDENCE
BFLY-10K-FY2025,Federal NOL carryforwards,700400,USD thousands,2025-12-31,2026-07-04,A1,https://www.sec.gov/Archives/edgar/data/1804176/000180417626000009/bfly-20251231.htm,"~73.7M begins expiring 2031",EVIDENCE
BFLY-10K-FY2025,FY2025 net cash used in operating activities,-12700,USD thousands,2025-12-31,2026-07-04,A1,https://www.sec.gov/Archives/edgar/data/1804176/000180417626000009/bfly-20251231.htm,"Much smaller than 77.1M GAAP net loss due to non-cash addbacks + WC timing",EVIDENCE
BFLY-10K-FY2025,FY2025 ex-offering cash usage,19300,USD thousands,2025-12-31,2026-07-04,A1,https://www.sec.gov/Archives/edgar/data/1804176/000180417626000009/bfly-20251231.htm,"Company-stated MD&A figure: cash usage excluding the Jan-2025 81M offering",EVIDENCE
BFLY-10K-FY2025,Public share offering net proceeds (Jan 2025),81000,USD thousands,2025-01-31,2026-07-04,A1,https://www.sec.gov/Archives/edgar/data/1804176/000180417626000009/bfly-20251231.htm,"27.6M Class A shares at $3.15/share; gross 86.9M less 5.9M costs",EVIDENCE
BFLY-10K-FY2025,FY2025 weighted-average diluted shares,247124365,shares,2025-12-31,2026-07-04,A1,https://www.sec.gov/Archives/edgar/data/1804176/000180417626000009/bfly-20251231.htm,"vs 211682760 FY2024 vs 205385544 FY2023",EVIDENCE
BFLY-10K-FY2025,FY2024 net loss,72492,USD thousands,2024-12-31,2026-07-04,A1,https://www.sec.gov/Archives/edgar/data/1804176/000180417626000009/bfly-20251231.htm,"-88.3% of FY2024 revenue",EVIDENCE
BFLY-10K-FY2025,FY2023 net loss,133700,USD thousands,2023-12-31,2026-07-04,A1,https://www.sec.gov/Archives/edgar/data/1804176/000180417626000009/bfly-20251231.htm,"-202.9% of FY2023 revenue; includes large one-off charges",EVIDENCE
BFLY-10K-FY2025,FY2023 total revenue,65900,USD thousands,2023-12-31,2026-07-04,A1,https://www.sec.gov/Archives/edgar/data/1804176/000180417626000009/bfly-20251231.htm,"3-year revenue base point",EVIDENCE
BFLY-10K-FY2025,FY2024 total revenue,82056,USD thousands,2024-12-31,2026-07-04,A1,https://www.sec.gov/Archives/edgar/data/1804176/000180417626000009/bfly-20251231.htm,"+24.5% YoY from FY2023",EVIDENCE
BFLY-10K-FY2025,Litigation loss contingency accrued Q4 2025 (Sezonov indemnification),3000,USD thousands,2025-12-31,2026-07-04,A1,https://www.sec.gov/Archives/edgar/data/1804176/000180417626000009/bfly-20251231.htm,"Recognized within Other opex; not representative of ongoing operations per mgmt",EVIDENCE
BFLY-10K-FY2025,Equity plan shares reserved (2020 Plan),62400000,shares,2025-12-31,2026-07-04,A1,https://www.sec.gov/Archives/edgar/data/1804176/000180417626000009/bfly-20251231.htm,"16.1M still available for future grant",EVIDENCE
BFLY-8K-Q1-2026-ER,Q1 2026 total revenue,26530,USD thousands,2026-03-31,2026-07-04,A1,https://www.sec.gov/Archives/edgar/data/1804176/000180417626000014/bfly-20260430xexx991.htm,"+25.0% YoY, above sell-side consensus per company release",EVIDENCE
BFLY-8K-Q1-2026-ER,Q1 2026 GAAP gross margin,68.9,pct,2026-03-31,2026-07-04,A1,https://www.sec.gov/Archives/edgar/data/1804176/000180417626000014/bfly-20260430xexx991.htm,"+590bps YoY; no one-off adjustment needed this quarter",EVIDENCE
BFLY-8K-Q1-2026-ER,Q1 2026 net loss,12677,USD thousands,2026-03-31,2026-07-04,A1,https://www.sec.gov/Archives/edgar/data/1804176/000180417626000014/bfly-20260430xexx991.htm,"Improved from 13967K Q1 2025",EVIDENCE
