claim_id,block,claim,source_id,verification_status,confidence,notes
C001,Financials,"FY2025 net sales $10,229.9M, organic +26% YoY",S3,verified,high,"Headline FY25 top line; organic strips FX + M&A"
C002,Financials,"FY2025 adjusted operating margin 20.4%",S3,verified,high,"Non-GAAP; up from high-teens prior year — real expansion"
C003,Financials,"FY2025 adjusted free cash flow $1,887.4M",S3,verified,high,"Strong FCF conversion; ~18.4% of sales"
C004,Financials,"FY2025 backlog $15.0B, +109% YoY",S3,verified,high,"Headline visibility metric; converts ~12-18 months, cancellable"
C005,Financials,"Q4 2025 book-to-bill ~2.9x; Q4 organic orders +252%; TTM organic orders +81%",S3,verified,high,"Blow-out Q4 demand print — the comp that makes the Q1'26 silence conspicuous"
C006,Financials,"Q3 2025 organic orders +60%",S3,verified,medium,"Prior-quarter datapoint in the orders series; accelerated into +252% Q4"
C007,Financials,"Q1 2026 net sales $2,650M, +30% total / +23% organic",S1,verified,high,"Total includes FX/M&A; organic is the cleaner read"
C008,Financials,"Q1 2026 regional organic: Americas +44%, EMEA -29%, APAC +12%",S1,verified,high,"EMEA -29% = demand is not uniformly immune; concentration in Americas"
C009,Financials,"Q1 2026 adjusted operating margin 20.8%, +430bps YoY; beat its own guide by ~180bps",S1,verified,high,"Margin expansion real and ahead of plan"
C010,Financials,"Q1 2026 adjusted EPS $1.17, +83% YoY",S1,verified,high,""
C011,Financials,"Q1 2026 adjusted FCF $653M, +147% YoY",S1,verified,high,"FCF growth outpacing earnings; working-capital + margin tailwind"
C012,Financials,"Q1 2026 orders / book-to-bill / backlog NOT disclosed",S1,UNVERIFIED,high,"BINDING GAP. The single cleanest demand gauge was withheld in Q1'26 after a +252%/2.9x Q4. High confidence on the FACT of non-disclosure; the underlying orders number is UNVERIFIABLE from public sources. Surfaced in inversion_map/monitor/research_status"
C013,Financials,"Management characterized FY26 orders as 'up YoY' and backlog as 'elongated' (qualitative only)",S2,verified,medium,"Directional comfort but no number; 'elongated' = longer-dated conversion, not necessarily weaker"
C014,Financials,"Raised FY26 guidance: net sales $13.5-14.0B, organic +29-31%, adj op margin 22.8-23.8%, adj EPS $6.30-6.40, adj FCF $2.1-2.3B",S1,verified,high,"Guide raised at Q1'26; FY26E EPS midpoint ~$6.35 anchors fwd P/E"
C015,Strategy,"2030 targets (May-2026 IC): organic revenue CAGR 20-22% (2025->2030E), adj op margin 27%",S4,verified,high,"Ceiling raised vs 2024 investor day (12-14% CAGR / 25% margin)"
C016,BusinessModel,"VRT sells 3 lines: power (UPS, switchgear, busway, 800V DC), thermal (CDUs, cold-plate, fluid networks, dry coolers), services (lifecycle, higher-margin recurring)",S1,verified,high,"Broad-line 'grey-space' critical-infrastructure integrator"
C017,BusinessModel,"800V DC programs launch 2H26, ship 2027",S2,verified,high,"Extends the power franchise into next-gen rack power distribution"
C018,Moat,"Co-developed NVIDIA GB200 NVL72 7MW power+cooling reference architecture",S5,verified,high,"Design-authority moat: closest thing to a standard; positions VRT as default integrated vendor"
C019,Moat,"Only broad-line single-vendor integrator shipping a co-engineered power AND thermal stack for an NVIDIA rack",S5,verified,medium,"Differentiator vs peers who split the chain; 'single-vendor stack' is the integration moat"
C020,Moat,"Liquid-cooling share leader ~11.3% (2025), ~tied with Schneider",S7,verified,medium,"Leadership real but it is a duopoly, not a monopoly — Schneider co-leads"
