scenario,horizon_yrs,rev_cagr_assumed,exit_adj_ebitda_margin,exit_ev_ebitda_multiple,rev_terminal_usd_b,ebitda_terminal_usd_b,net_cash_terminal_usd_b,ev_terminal_usd_b,equity_terminal_usd_b,price_terminal_usd,irr_pct,vs_8pct_hurdle
bear,3,0.060,0.235,19.0,7.23,1.952,4.2,37.09,41.29,71.70,-8.7,FAIL
bear,5,0.060,0.245,18.0,8.12,2.274,5.5,40.94,46.44,80.65,-3.1,FAIL
base,3,0.095,0.280,25.0,7.97,2.510,4.2,62.76,66.96,116.29,7.2,FAIL
base,5,0.090,0.285,24.0,9.34,2.989,6.0,71.73,77.73,134.99,7.4,FAIL
bull,3,0.140,0.300,28.0,8.99,3.013,4.2,84.35,88.55,153.79,17.7,PASS
bull,5,0.130,0.310,27.0,11.18,3.858,6.5,104.18,110.68,192.21,15.3,PASS

# Methodology notes:
# - Base year (Yr0) = FY2025 actuals: revenue $6.070B, adjusted operating margin 27.1%, est adj EBITDA ~$1.857B (adj op income + est D&A ~3.5% of revenue; D&A not separately disclosed in sources reviewed this run -- OPEN item facts.md O5, same convention as GEHC exemplar)
# - Current price $94.37; shares 575.80M; market cap $54.34B (ties out exactly: 575.80M x 94.37 = 54.34B); net cash (Q1 2026 basis: cash $2.4455B + investments $1.5116B - LT debt $0.5985B) = ~$3.36B; EV = mcap - net cash = ~$50.98B
# - Current implied EV/EBITDA (FY25-actual basis): ~27.4x -- current implied EV/EBITDA (FY26E guidance-midpoint basis, ~10% growth + high-28s% margin): ~23.9x. This is a GROWTH multiple, not a value multiple -- explicitly reflects the high-hug price finding (facts.md I1): EW is priced for continued excellent execution, not for a margin of safety.
# - Net cash (not net debt, unlike GEHC/most large-cap comps) ADDS to equity value in the terminal bridge (equity_terminal = EV_terminal + net_cash_terminal), consistent with EW's fortress balance sheet (financial_quality.md).
# - BEAR: TAVR growth decelerates to a blended ~6%/yr (guideline/CMS NCD expansion disappoints, core franchise matures faster than hoped -- inversion_map.md Kill Path 1); TMTT ramp undershoots guidance (Abbott MitraClip/TriClip holds share -- Kill Path 2); China remains structurally sub-scale with no improvement (Kill Path 3); FY2025's unexplained litigation-expense spike (facts.md O2) proves partially RECURRING rather than one-off, depressing margin ~4-5pts vs FY25 adjusted; multiple de-rates sharply (19.0x/18.0x) reflecting a growth-story-disappoints re-rate, still a premium to GEHC-style hardware peers but well below EW's own current level.
# - BASE: FY2026 guidance is roughly achieved on a blended multi-year basis (~9-10%/yr, consistent with the 9-11% raised FY2026 guide moderating slightly in later years as TAVR matures); adjusted operating margin holds near the guided "high end of 28-29%" range; China stays a small, sub-scale drag but does not worsen; litigation normalizes toward historical (~$40-80M/yr) levels; multiple compresses MODESTLY from the current rich 27.4x toward 24-25x (reflecting a full-growth-priced stock reverting partway toward a market-average premium-medtech multiple as growth normalizes) -- this MODEST compression, even with base-case fundamentals broadly working, is what pins the base case just BELOW the 8% hurdle (+7.2%/+7.4%) rather than comfortably clearing it, directly reflecting the high-hug entry point with near-zero margin of safety.
# - BULL: TMTT/SAPIEN M3 prove a genuine second decade-long growth engine (mid-teens blended revenue CAGR); CMS NCD reconsideration expands TAVR's addressable Medicare population; China stabilizes/improves via continued global-evidence-transfer efforts; margin expands past 30% as scale + mix (higher-growth TMTT + Surgical stability) kick in; multiple holds near or modestly above the current level (27-28x) reflecting confirmed premium-growth-compounder status -- this is the scenario in which today's high-hug price is retrospectively justified as "cheap in hindsight," not the base case.
# - 8% hurdle: bear and base scenarios FAIL the hurdle at BOTH 3yr and 5yr horizons (base is a THIN, near-miss fail: +7.2%/+7.4%, i.e., within ~1pt of the hurdle -- materially closer to passing than GEHC's flat-to-negative base case, but still a fail on strict discipline); bull PASSES at both horizons. This produces a genuinely different pattern from GEHC (business-quality-ambiguous, price-fair, real gaps -> WATCH) -- EW's business quality reads as clearly STRONG (accelerating growth, expanding-to-guided margin, fortress balance sheet, deep clinical-evidence moat), but the PRICE is the binding constraint: buying at/near a 52-week high with a rich growth multiple leaves the base case just short of the hurdle, with almost the entire margin of safety already extracted by the market pricing in continued excellent execution.
