claim_id,source_id,layer,entity,date_or_period,claim_type,claim,value,unit,status,confidence,notes
C001,S1,Financials,CEG,FY2025,reported_number,"FY2025 revenue $25.5B (+8% YoY)",25.5,USD_bn,verified,high,"Standalone (pre-Calpine consolidation)"
C002,S1,Financials,CEG,FY2025,reported_number,"FY2025 adjusted operating EPS $9.39 (beat); GAAP EPS $7.40",9.39,USD,verified,high,"Adj-EPS is the management/Street KPI; GAAP includes mark-to-market noise"
C003,S1,Financials,CEG,FY2025,reported_number,"FY2025 free cash flow ~$1.3B (standalone)",1.3,USD_bn,verified,medium,"Modest vs ~$100B mkt cap; PTC + contracted PPAs are the forward FCF story"
C004,S1,Operations,CEG,FY2025,reported_number,"FY2025 nuclear fleet capacity factor 94.7%",94.7,pct,verified,high,"~32 GW nuclear post-Calpine; near-zero marginal cost. Core of the moat"
C005,S2,Financials,CEG,Q1-2026,reported_number,"Q1 2026 revenue $11.12B (+64% YoY) -- first full Calpine-consolidated quarter",11.12,USD_bn,verified,high,"YoY jump is mostly Calpine consolidation, not organic"
C006,S2,Financials,CEG,Q1-2026,reported_number,"Q1 2026 adjusted operating EPS $2.74 (beat $2.59 consensus); GAAP EPS $4.49",2.74,USD,verified,high,"Continues the adj-EPS beat pattern; GAAP > adj due to favorable marks; Calpine ~+$2/share FY26 accretion"
C007,S2,Operations,CEG,Q1-2026,reported_number,"Q1 2026 nuclear capacity factor 92.3%",92.3,pct,verified,high,"Seasonally lower (refueling) but fleet discipline intact"
C008,S2,Financials,CEG,Q1-2026,capital_return,"Buyback authorization $5.0B; dividend $1.71 (>=10% growth target)",5.0,USD_bn,verified,high,"Per-share discipline post-Calpine"
C009,S2,Guidance,CEG,FY2026,guidance,"FY2026 adjusted operating EPS guidance $11.00-$12.00 AFFIRMED at Q1 2026",11.50,USD,verified,high,"Midpoint $11.50; affirmed 2026-05-11, not cut"
C010,S2,Guidance,CEG,FY2026-2029,guidance,"20%+ base-EPS CAGR targeted through 2029",20,pct,verified,medium,"Targeted, not contracted; depends on Crane + Calpine accretion + new PPAs"
C011r,S13,BalanceSheet,CEG,2026-03-31,reported_number,"Q1'26 10-Q net debt ~$21.3B (LT debt $16,994M + ST borrowings $5,102M - cash $800M); mgmt pro-forma leverage ~2.25x; $3.4B debt-reduction plan to 2027 toward ~2.0x",21.3,USD_bn,verified,high,"RESOLVES the seed's disputed C011 estimate with a PRIMARY 10-Q figure. Pro-forma leverage ~2.25x is much milder than the seed's 3.8x trailing snapshot -> kill (c) more de-risked"
C012,S4,M&A,CEG,2026-01-07,event,"Calpine acquisition CLOSED 2026-01-07 -> largest US power producer; +23 GW gas + Geysers geothermal + retail",23,GW,verified,high,"Shifts mix toward dispatchable gas + integrated retail"
C013,S12,Contracts,CEG,2024-2044,contract_term,"Microsoft 20-yr PPA (Crane/ex-TMI Unit 1 ~835 MW); front-of-meter; PRICING UNDISCLOSED (secondary press estimates $100-115/MWh, UNCONFIRMED)",835,MW,partial,medium,"Existence HIGH; official price UNVERIFIED. Secondary $100-115/MWh estimates are commentary, NOT entered as fact. Caps own upside if fixed-price"
