name,segment,subsegment,founded_year,hq_country,hq_city,status,latest_valuation_usd_m,total_funding_usd_m,latest_round_date,latest_round_type,revenue_usd_m,revenue_yoy_pct,payer_type,business_model,moat_type,founders_phd_count,founders_background,tech_dna,hardware_component,china_counterpart,china_counterpart_overseas_status,entry_paths,nick_notes,entry_role_paths,pm_demand_signal,data_as_of
Abridge,S1,ambient_scribe,2018,US,Pittsburgh,private,5300,800,2025-06,E,100,67,hospital,per_user_subscription,integration,1,cardiologist (Shiv Rao) + CMU CS PhD (Zack Lipton),hybrid,none,,,direct hire China R&D (none yet); academic via Zack Lipton's CMU network; via Epic ecosystem partners,53x revenue multiple. Kaiser deepest deployment. Zack Lipton is well-known ML researcher,,,2026-05-16
Nuance DAX Copilot,S1,ambient_scribe,1992,US,Burlington_MA,acquired,19700,,2022-03,Acquired,,,hospital,enterprise_subscription,integration,,,clinical,none,,,via Microsoft Health China (existing); via partner SI integrations,33% US mkt share; 77% US hospitals; MSFT $19.7B acq 2022,,,2026-05-16
Ambience Healthcare,S1,ambient_scribe_plus_coding,2020,US,San_Francisco,private,1250,243,2025-07,C,,,hospital,per_user_subscription,integration,,Nikhil Buduma (ML; deep learning book author) + Mike Ng,hybrid,none,,,direct hire SF (no China office); via founder network,New unicorn 2025. 13% mkt share. Horizontal scribe+coding+RCM,,,2026-05-16
Heidi Health,S1,ambient_scribe,2019,Australia,Melbourne,private,465,100,2025,B,,,hospital,smb_saas,brand,0,Thomas Kelly MD,clinical,none,,,direct hire AU/global; APAC expansion office may include China,Only international scribe at scale; APAC focus,,,2026-05-16
Suki AI,S1,ambient_scribe,2017,US,Redwood_City,private,,165,2024,D,,,hospital,smb_saas,brand,0,Punit Soni (ex-Flipkart/Google exec),algorithm,none,,,direct hire CA,SMB practice focus; voice-first,,,2026-05-16
Nabla,S1,ambient_scribe_agentic,2018,France,Paris,private,180,95,2025-06,C,,,hospital,per_user_subscription,brand,0,Alexandre Lebrun (ex-Facebook AI),algorithm,none,,,EU hire (Paris); US expansion,[STALE >12mo] last disclosed val Jan2024 $180M; est $300-500M post Series C,,,2026-05-16
Augmedix,S1,ambient_scribe,2012,US,San_Francisco,acquired,139,,2024,Acquired,,,hospital,enterprise_subscription,brand,0,Ian Shakil (Stanford engineer ex-Apple),hybrid,none,,,now part of Commure org,Was public NASDAQ:AUGX; acquired by Commure 2024 for $139M,,,2026-05-16
DeepScribe,S1,ambient_scribe,2017,US,San_Francisco,private,,30,2022,B,,,hospital,smb_saas,brand,,UC Berkeley alumni,algorithm,none,,,direct hire CA; growing slowly,Smaller; pre-2025 last raise,,,2026-05-16
Freed,S1,ambient_scribe_outpatient,2023,US,San_Francisco,private,,,2024,seed,,,clinician,direct_to_clinician_subscription,brand,0,physicians,clinical,none,,,smaller team; physician-led,Outpatient SMB D2C clinician focus,,,2026-05-16
Eleos Health,S1,ambient_scribe_behavioral,2020,Israel,Boston_TelAviv,private,,,2024,B,,,hospital,enterprise_subscription,brand,,,clinical,none,,,Israel/US hire,Behavioral/post-acute focus; Menlo portfolio,,,2026-05-16
Commure,S1+S6,scribe_plus_rcm_platform,2017,US,Mountain_View,private,6000,1200,2025-06,growth,,,hospital,platform_per_outcome,integration,,General Catalyst incubated (Hemant Taneja),hybrid,none,,,direct hire CA; acquires aggressively,Valued $6B est. $200M growth Jun2025. Acquired Augmedix 2024. Full-stack RCM+scribe+practice mgmt,,,2026-05-16
Olive AI,S6,full_stack_admin_ai,2012,US,Columbus_OH,dead,4000,400,2023-10,Dead,,,hospital,saas_subscription,brand,,Sean Lane (ex-military intel),algorithm,none,,,company defunct; ex-employees scattered to Waystar/Humata/other healthcare AI,CAUTIONARY TALE. Died Oct2023. $4B peak (2021). Sold clearinghouse to Waystar + prior auth to Humata. Reasons: overpromise + lack of focus + bad CS + opaque ROI claims,,,2026-05-16
Innovaccer,S6,data_platform_plus_ai_copilots,2014,US,San_Francisco,private,3450,700,2025-01,F,,,hospital,enterprise_subscription,data,,Abhinav Shashank + Kanav Hasija,data,none,,,India + US offices; large India team,$275M Series F Jan2025. Multi-module: scribe + prior auth + denied claims. Risk: NRR not disclosed,,,2026-05-16
Cohere Health,S6,prior_auth_specialist,2019,US,Boston,private,,106,2025-02,C,,,payer,per_outcome_per_transaction,network,,ex-payer industry,algorithm,none,,,direct hire Boston; payer network limits headcount growth,Prior auth focus. Building RCM-native LLM with Ensemble,,,2026-05-16
AKASA,S6,gen_ai_for_rcm,2018,US,South_San_Francisco,private,,200,2022,D,,,hospital,enterprise_subscription,brand,,Malinka Walaliyadde + Andrew Atwal,algorithm,none,,,direct hire CA; no new round 3yr is risk signal,Pre-2025 last raise. AKASA-HFMA survey shows 80% health systems exploring AI for RCM but doesn't translate to AKASA revenue,,,2026-05-16
Notable,S6,patient_access_automation,2017,US,San_Mateo,private,,120,2023,B,,,hospital,enterprise_subscription,brand,,Pranay Kapadia (ex-Salesforce),algorithm,none,,,direct hire CA,Patient access focus. Lower profile than Commure/Innovaccer,,,2026-05-16
Tennr,S6,document_ai_patient_intake,2021,US,New_York,private,,60,2024,B,,,hospital,per_outcome,algorithm,,recent grads,algorithm,none,,,direct hire NY; small team,OCR + document AI for prior auth and intake. Could be acquired by Cohere/Commure,,,2026-05-16
Develop Health,S6,benefits_verification,2024,US,San_Francisco,private,,17.6,2025-08,A,,,hospital,per_transaction,algorithm,,recent founders,algorithm,none,,,direct hire CA; very early,$14.3M Series A Aug2025. Niche specialty. Could grow or get acquired,,,2026-05-16
Humata Health,S6,prior_auth_post_olive,2023,US,Columbus_OH,private,,,,,,,hospital,per_transaction,brand,,acquired Olive's prior auth team,algorithm,none,,,direct hire OH; small ex-Olive team,Took over Olive's prior auth business post-shutdown,,,2026-05-16
Waystar,S6,clearinghouse_rcm_incumbent,1998,US,Lehi_UT,public,,,2024,IPO,,,hospital,enterprise_subscription_plus_transaction,scale,,long-running incumbent,hybrid,none,,,public-co hire; large team,Acquired Olive clearinghouse 2023. Public NASDAQ:WAY,,,2026-05-16
R1 RCM,S6,rcm_outsourcing_incumbent,2003,US,Murray_UT,acquired,9000,,2024,Acquired,,,hospital,bpo_plus_software,scale,,long-running incumbent,clinical,none,,,BPO co; large team mostly India,Was public RCM. PE-acquired $9B 2024,,,2026-05-16
HeartFlow,S5,cardiac_ct_ffr,2007,US,Mountain_View,public,1540,577,2025-08,IPO,136,39,hospital_plus_payer,per_study_fee_plus_reimbursement,regulatory,1,Charles Taylor (Stanford engineering professor),algorithm,none,"Shukun, 数坤",,public-co hire CA; partnerships via Stanford network,IPO Aug2025 $1.54B val. $136M TTM rev 39% YoY. Walked through CPT code reimbursement path. THE benchmark for S5 commercialization,,,2026-05-16
PathAI,S5,pathology_oncology,2016,US,Boston,private,,355,2021,C,,,pharma_plus_lab,pharma_data_licensing_plus_lab,data,1,Andy Beck (MD-PhD Harvard),hybrid,paired_device,透彻影像,none,direct hire Boston; via Harvard/MGH network,Quest Diagnostics 2025 deal + CE mark 2025. Roche-Bayer territory,,,2026-05-16
Aidoc,S5,acute_radiology_triage,2016,Israel,Tel_Aviv,private,,238,2022,C,,,hospital,per_alert_subscription,regulatory,0,Elad Walach (IDF 8200 alum),algorithm,none,"联影智能 (急诊), 数坤",,direct hire Tel Aviv/NYC; via Israel-China imaging network,20+ FDA clearances. 72% of imaging AI funding 2022 (1 of 4). Foundation model paradigm,,,2026-05-16
Cleerly,S5,cardiac_cta,2017,US,Denver,private,,281,2022,B,,,hospital,population_health_screening,data,1,James Min MD-PhD (cardiologist),clinical,none,数坤,,direct hire CO; via Weill Cornell network,$192M Series B 2022. HeartFlow direct competitor but still investigational in US,,,2026-05-16
