name,name_zh,segment,subsegment,founded_year,hq_city,status,listing,latest_valuation_usd_m,total_funding_usd_m,latest_round_date,latest_round_type,revenue_usd_m,revenue_yoy_pct,payer_type,business_model,moat_type,founders_phd_count,founders_background,founders_returnee,tech_dna,hardware_component,us_counterpart,overseas_status,overseas_target_regions,entry_paths,nick_notes,data_as_of
United Imaging Intelligence,联影智能,S5,multimodal_imaging_ai,2017,Shanghai,private,preparing_IPO_planned,1400,140,2025-06,A,,,hospital,per_alert_subscription_plus_oem,integration,2,"from 联影集团 spinout, deep imaging algorithm + clinical team",1,hybrid,embedded_in_device,Aidoc / Viz.ai / Annalise.ai,planning,"SEA, MEA",direct hire 上海; 联影集团内部 transfer; international biz BD; ⭐ Nick MAIN candidate A — algorithm engineer / research scientist / clinical PM,16 NMPA 三类证 行业第一 (含联影集团 + 联影医疗 + 联影智融). $100亿 估值 Jun2025. PA imaging 背景对口 + 上海 HQ 兼容北京家族业务,2026-05-16
United Imaging Healthcare,联影医疗,S5,imaging_device_oem_parent,2011,Shanghai,public,A_share_688271_SSE_STAR,15000,,2022-08,IPO,1500,20,hospital,device_sales_plus_service,scale_plus_integration,1,"薛敏 PhD (United Imaging founder, ex-Siemens)",1,hardware,embedded_in_device,GE Healthcare / Siemens Healthineers / Philips (= GPS competitor),active,"SEA, MEA, EU, LATAM",public-co hire 上海; international business 部门 ⭐ Nick MAIN candidate A2,联影集团母公司。A 股上市. 海外营收占比逐年提升. 是中国唯一全栈 imaging device 厂. 联影智能 + 联影智融 子公司,2026-05-16
Shukun Technology,数坤科技,S5,cardiac_plus_neuro_imaging,2017,Beijing,private,preparing_HK_IPO,,305,2023,D,,,hospital,per_study_fee,regulatory_plus_clinical_partnerships,2,马春娥 + 毛新生 (ex-IBM),1,algorithm,none,HeartFlow / Cleerly,planning,SEA,direct hire 北京; preparing HK IPO 2025-2026,14 NMPA 三类证. 心脑血管 AI 头部. 据报 2025 可能盈利. 北京家族业务直接同城,2026-05-16
InferVision,推想医疗,S5,chest_ct_lung,2015,Beijing,private,HK_IPO_withdrawn_2022_re_filing,,200,2022,E,,,hospital,per_study_subscription,regulatory_plus_brand,1,陈宽 PhD (Univ of Chicago),1,algorithm,none,Aidoc,planning,"EU, SEA",direct hire 北京,13 NMPA 三类证. HK IPO 2022 withdrawn (中概股寒冬). 据报 2025 可能盈利. 红旗 1/6 (长期没新轮),2026-05-16
Deepwise,深睿医疗,S5,multi_modal_imaging,2017,Beijing,private,private,350,180,2024,C+,,,hospital,per_study_subscription,regulatory,1,乔昕 (ex-Philips imaging),1,algorithm,none,Annalise.ai / Aidoc,none,,direct hire 北京,14 NMPA 三类证. $25亿 RMB ~ $350M val. 创始人 ex-Philips 影像背景对口,2026-05-16
Airdoc,鹰瞳科技,S5,retinal_imaging,2015,Beijing,public,HK_2251_HK,400,150,2021-11,IPO,30,30,patient_plus_insurer,per_scan_plus_screening_subscription,regulatory_plus_brand,1,张大磊 PhD (ex-Microsoft),1,algorithm,paired_device,IDx-DR (US ophthalmology AI),none,,public-co hire 北京,眼底视网膜 AI 头部. HK 2021 IPO 后股价跌 70%+. 红旗 2/6 (估值倒挂 + 商业化不佳),2026-05-16
Thorough Images,透彻影像,S5,pathology_ai,2017,Beijing,private,private,,50,2024,C,,,hospital_plus_pharma,per_specimen_plus_pharma,regulatory_plus_data,1,李欣 PhD,1,algorithm,paired_device,PathAI / Paige,none,,direct hire 北京,中国病理 AI 头部. 比美国 PathAI/Paige 早期得多,2026-05-16
MGI Tech,华大智造,S3,ngs_sequencer_plus_lab_automation,2016,Shenzhen,public,A_share_688114_SSE_STAR,3000,,2022-09,IPO,150,-9,lab_plus_research,device_sales_plus_consumables_plus_service,scale_plus_IP,2,汪建 + 王俊 (BGI co-founders); MGI 独立 2016,1,hardware,embedded_in_device,Illumina (sequencing rival) / 10x Genomics,active,"SEA, EU, LATAM, MEA, Africa - 76 countries",public-co hire 深圳; ⭐ international business 部门 — Nick MAIN candidate B (MGI Americas + MGI Europe + MGI Latin America 都在 active hiring),"海外营收占比 33% (2025 H1 在手订单). 76 国覆盖, 1080+ 客户. 但 2025 H1 海外营收 YoY -9% (Trump 关税 + 中美摩擦). 最近卖出 US CGI 子公司 $50M 给瑞士 Swiss Rockets",2026-05-16
Burning Rock Biotech,燃石医学,S3,oncology_ngs_panels,2014,Guangzhou,public,NASDAQ_BNR_near_delisting_then_share_consolidation,300,470,2020-06,IPO,55,-10,hospital_plus_patient_plus_pharma,per_test_plus_data,regulatory_plus_clinical_partnerships,1,汉雨生 (NJU + 哈佛 postdoc); MIT Tech Review 35 under 35,1,clinical,paired_device,Foundation Medicine / Guardant / Caris,planning,SEA,public-co hire 广州,中国 NGS 头部. NASDAQ 退市边缘 (1:10 合股避险). 销售费用率 > 50% 一直亏损. 红旗 3/6 (估值倒挂 + SPAC 类压力 + 长期没新轮),2026-05-16
Genetron Health,世和基因,S3,oncology_ngs_lab,2014,Nanjing,private,IPO_terminated_2024,,200,2022,D,70,5,hospital_plus_patient,per_test,clinical_partnerships,1,邵阳 PhD,1,clinical,paired_device,Foundation Medicine / Guardant,none,,direct hire 南京,A 股 IPO 2024-Q4 主动撤单 失败. 销售费用率 ~50%. 比燃石小但同类问题,2026-05-16
