index,id,title,url,status,error_type,returncode
1,RCh6v_Ao6mY,美股 本周科技巨头财报预测！AMZN GOOGL META AAPL,https://www.youtube.com/watch?v=RCh6v_Ao6mY,success,,
2,V9lpyMJebKA,美股  光通信产业链个股机会，千万别错过！ AMD GLW LITE TTMI MRVL AVGO,https://www.youtube.com/watch?v=V9lpyMJebKA,success,,
3,TXYUWWanMw0,美股 AI进入执行时代，真正的赢家是这两家大公司！#intc #amd,https://www.youtube.com/watch?v=TXYUWWanMw0,success,,
4,Lq0dllDxn7Y,美股 复盘美国五次科技革命看本质，这一轮AI为何截然不同？,https://www.youtube.com/watch?v=Lq0dllDxn7Y,success,,
5,yMcHtcfWQWs,美股 新开仓小SpaceX，太空股集体暴涨背后的机遇！FLY LUNR VSAT PL,https://www.youtube.com/watch?v=yMcHtcfWQWs,success,,
6,ZT7mICtHTXk,美股 医药板块，10倍股该如何找？共同特征是什么？ERAS TERN,https://www.youtube.com/watch?v=ZT7mICtHTXk,success,,
7,WuNoD1TgViM,美股 2026年AI智能体爆发年，极度利好两家美股公司，已经买入！,https://www.youtube.com/watch?v=WuNoD1TgViM,success,,
8,6JZPmx1CI6E,美股 英伟达GTC 大会重磅前瞻！下周资金将疯狂涌向这三个板块！NVDA,https://www.youtube.com/watch?v=6JZPmx1CI6E,success,,
9,knunaweBO9c,美股 规模三年暴增3倍！英伟达押注新赛道！美伊战争背后，利好这3家公司，AI + 卫星 + 数据作战体系 #avgo #nvda,https://www.youtube.com/watch?v=knunaweBO9c,success,,
10,-XIks2hUpv0,美股 微软、亚马逊、奈飞，哪个最值得抄底？ MSFT AMZN NFLX,https://www.youtube.com/watch?v=-XIks2hUpv0,success,,
11,OU-gD737z4U,美股 英伟达本周三财报预测，深度报告 #nvda,https://www.youtube.com/watch?v=OU-gD737z4U,success,,
12,ZHyuuqPVWj4,美股分析 下一轮AI核心机会不在GPU，而在“光电”产业链 LITE COHR,https://www.youtube.com/watch?v=ZHyuuqPVWj4,success,,
13,yuOT451BsKA,美股软件股还有救吗？几大投行研报，揭秘AI能否摧毁SaaS行业 GOOG PLTR MNDY DDOG U,https://www.youtube.com/watch?v=yuOT451BsKA,success,,
14,H2xVD4Gn4Oo,美股2026年最值得购买的新股IPO，提前把券商账号开好！#spacex,https://www.youtube.com/watch?v=H2xVD4Gn4Oo,success,,
15,OzH60C-H_2c,美股软件股正在崩盘，市场开始害怕什么？MSFT TEAM PLTR APP DDOG ......,https://www.youtube.com/watch?v=OzH60C-H_2c,success,,
16,JoBRgakmD58,美股 2026年必买10只股【下集】不为人知的潜力公司 #TTMI,https://www.youtube.com/watch?v=JoBRgakmD58,success,,
17,TaX5DM5dQlg,美股 2026年必买10只股【中集】不为人知的潜力公司 #GLW,https://www.youtube.com/watch?v=TaX5DM5dQlg,success,,
18,GDzegfS0ZPE,美股 2026年必买10只股【上集】不为人知的潜力公司 #RMBS,https://www.youtube.com/watch?v=GDzegfS0ZPE,success,,
19,tTpJQmuCZaI,美股 2026年五大投资主题！千万别错过！ONDS RDW SPY SPX QQQ TSLA NVDA,https://www.youtube.com/watch?v=tTpJQmuCZaI,success,,
20,XwWPmXJXFZQ,现在投资美股有多危险？5大量化指标，用专业金融数据给你揭晓答案！ TSLA NVDA SPY,https://www.youtube.com/watch?v=XwWPmXJXFZQ,success,,
21,8d23x9C6wTo,美股投资一家高PE低PS的AI公司，到底存在什么风险？TSLA PLTR SYM ....,https://www.youtube.com/watch?v=8d23x9C6wTo,success,,
22,M9SThabdQ5o,美股 一次全曝光“谷歌AI芯片”最强核心供应商，有哪些公司将利好？GOOG NVDA AVGO ......,https://www.youtube.com/watch?v=M9SThabdQ5o,success,,
23,auCmxjhtc1c,量化交易员教你如何构建第一个股票量化因子 Alpha2 #量化交易,https://www.youtube.com/watch?v=auCmxjhtc1c,failed,yt-dlp,1
24,vYDfmaBcfVg,Nvidia's November Earnings Preview and In-Depth Report (NVDA),https://www.youtube.com/watch?v=vYDfmaBcfVg,success,,
25,Ba0AtR1f150,This US-listed company is poised to surpass Nvidia's $5 trillion market capitalization! NVDA,https://www.youtube.com/watch?v=Ba0AtR1f150,success,,
26,B3gH8j3ANtA,美股 房地产危机升级！巨头遭集体降级！08年金融风暴将再度上演？,https://www.youtube.com/watch?v=B3gH8j3ANtA,success,,
27,adDipNpcNyk,美股【重磅】美联储闭门会议曝光：川普+鲍威尔联手放行DeFi，加密时代全面开启！谁将吃下AI金融红利？,https://www.youtube.com/watch?v=adDipNpcNyk,success,,
28,3_1-qLPoJDY,黄仁勋问韩国股民，你们靠NVDA赚不少钱了吧？我最爱韩国炸鸡！,https://www.youtube.com/watch?v=3_1-qLPoJDY,success,,
29,g9ZPlq4h_Uo,美股 380亿债务背后，甲骨文背水一战，背后藏着AI危机？ORCL NVDA CIFR,https://www.youtube.com/watch?v=g9ZPlq4h_Uo,success,,
30,fidiOafCskA,美股分析 10月必买股，潜力巨大！,https://www.youtube.com/watch?v=fidiOafCskA,success,,
31,43BqQ7MdeCI,美股分析 OpenAI正在重塑美股格局！有哪些被它“点名”的公司股价会暴涨？！FIG SHOP .....,https://www.youtube.com/watch?v=43BqQ7MdeCI,success,,
32,dEy1IJ29Z44,美股 别只盯着英伟达了！AI存储硬盘才是最大赢家，四大牛股名单曝光！#wdc #sndk #mu ...,https://www.youtube.com/watch?v=dEy1IJ29Z44,success,,
33,wvCWF6zz_Bc,美股 英伟达变身AI“央行”！1000亿背后谁将是下一波大赢家？IREN NVDA NBIS ORCL WDC,https://www.youtube.com/watch?v=wvCWF6zz_Bc,success,,
34,0qynEZgZPS4,美股 特斯拉放弃造新车？背后惊人布局曝光！ TSLA,https://www.youtube.com/watch?v=0qynEZgZPS4,success,,
35,0Vz8JDQ46pE,美股 AI股集体暴涨背后，看到英伟达的危机，附送其他几只潜力股！IREN NBIS ORCL ......,https://www.youtube.com/watch?v=0Vz8JDQ46pE,success,,
36,DETzxjqSBYU,美股 9月必买 两只降息利好股！潜力巨大！！！ RKT,https://www.youtube.com/watch?v=DETzxjqSBYU,success,,
37,Rg4pjExONsw,美股 英伟达8月财报前瞻预测，万字深度报告 NVDA AVGO TSM AMD,https://www.youtube.com/watch?v=Rg4pjExONsw,success,,
38,sAjaaZD7DXk,美股 最神秘对冲基金6小时血洗印度股市8000万！105页报告揭秘它操盘具体手法，普通人也能学！NVDA TSLA SPY,https://www.youtube.com/watch?v=sAjaaZD7DXk,success,,
39,VuotMltaQQ4,美股8月重磅IPO！Bullish与MIAX能否成为下一个CRCL？ BLSH,https://www.youtube.com/watch?v=VuotMltaQQ4,success,,
