scenario,horizon_yrs,rev_cagr_assumed,exit_adj_ebitda_margin,exit_ev_ebitda_multiple,rev_terminal_usd_b,ebitda_terminal_usd_b,net_debt_terminal_usd_b,ev_terminal_usd_b,equity_terminal_usd_b,price_terminal_usd,irr_pct,vs_8pct_hurdle
bear,3,0.005,0.21,15.0,45.23,9.50,47.00,142.47,95.47,256.89,-20.8,FAIL
bear,5,0.01,0.20,14.5,46.83,9.37,44.00,135.80,91.80,247.04,-13.6,FAIL
base,3,0.045,0.235,19.0,50.85,11.95,33.00,227.03,194.03,522.11,0.3,FAIL
base,5,0.045,0.245,19.5,55.52,13.60,26.00,265.27,239.27,643.86,4.6,FAIL
bull,3,0.075,0.255,21.5,55.35,14.11,27.00,303.47,276.47,743.95,12.8,PASS
bull,5,0.075,0.27,22.5,63.97,17.27,18.00,388.59,370.59,997.24,14.1,PASS

# Methodology notes:
# - Base year (Yr0) = FY2025 actuals: revenue $44.556B, adj operating margin 22.7% (adj operating income $10.11B), est adj EBITDA ~$12.34B (adj operating income + est D&A ~5.0% of revenue -- D&A not separately disclosed in sources reviewed this run given TMO's large goodwill/intangible base from decades of M&A; OPEN item consistent with GEHC's equivalent gap)
# - Current price $523.44; shares 371.62M; market cap $194.52B; net debt (Q1 2026 basis, most current, post-Clario) ~$39.9B; EV ~$234.4B
# - Current implied EV/EBITDA (FY25 est basis): ~19.0x -- this closely cross-validates the independently-sourced screener range (17.97x-19.32x, facts.md E55), and is the starting multiple all scenarios exit FROM
# - Peer anchor: Danaher trades ~18.8x EV/EBITDA (2026-06-03) -- TMO currently trades roughly IN LINE with this closest peer (unlike GEHC's 19% premium to Siemens Healthineers), and modestly BELOW its own 5-year historical average (~20.2x)
# - BEAR: Analytical Instruments academic/government softness (US + China) proves structural, not cyclical, and spreads to other segments; BIOSECURE/Clario tailwind fails to materialize as guided; FY2025 FCF decline continues/worsens; leverage rises further without EBITDA growth to match; multiple de-rates below Danaher peer (14.5-15.0x) reflecting a "growth story broken" market re-rating
# - BASE: FY2026 guidance is roughly achieved (3-4% organic + M&A contribution, consistent with the guided $47.3-48.1B range); Analytical Instruments stabilizes (does not recover to +7.7%-segment growth, does not deteriorate further); China/academic-government softness persists but does not accelerate; BIOSECURE/Clario delivers its guided ~$900M revenue contribution; margin holds/modestly improves (22.7% -> 23.5-24.5%) as Clario integration completes; multiple holds near current level (19.0-19.5x)
# - BULL: AI-enabled instrument strategy (Orbitrap AI bundle, NVIDIA partnership) proves monetizable via ASP premium/attach rate (currently unproven, facts.md O7); BIOSECURE tailwind exceeds current guidance as CRO/CDMO reshoring accelerates; bioproduction keeps compounding at 7%+; Analytical Instruments reaccelerates as academic/government funding cycle turns; margin expands toward mid-high-20s% as AI/software mix improves profitability; multiple re-rates toward/above own 5yr historical average (21.5-22.5x) reflecting proven AI differentiation and structural BIOSECURE tailwind
# - Dividend yield contribution: ~0.36%/yr added to price CAGR for total IRR (current stated yield per screener, facts.md E53) -- immaterial to scenario conclusions either way, consistent with GEHC exemplar treatment
# - 8% hurdle: bear and base scenarios FAIL the hurdle at BOTH 3yr and 5yr horizons; bull PASSES at both horizons. This is directionally similar in SHAPE to the GEHC exemplar (bear/base fail, bull passes) but TMO's bear case is materially LESS severe (-20.8%/-13.6% vs GEHC's -29.5%/-15.5%) reflecting TMO's more diversified segment mix and currently-in-line (not premium) peer valuation, while TMO's base case at 5yr (+4.6%) is closer to (but still below) the hurdle than GEHC's near-flat base case (-0.1%) -- consistent with this dossier's overall finding that TMO's business quality and financial trajectory are somewhat more favorable than the GEHC exemplar, though the price is also somewhat less obviously discounted (TMO sits mid-52wk-range, not near its low)
