id,source,category,ticker,date,type,claim,status,confidence,note
E001,SRC-WS1,Identity,EROC,2026-08-13,fact,"法定名称 ERock, Inc.；交易所 NYSE；代码 EROC",verified_secondary,high,"中文自媒体写作 EROC，实为 ERock；多源一致"
E002,SRC-WS1,Identity,EROC,2026-06,fact,"2026年6月 IPO，募资约 $400M gross，售出约 27.9M 股 Class A",unverified_secondary,medium,"精确日期与发行价未取；Class B 是否存在 OPEN"
E003,SRC-WS1,Business,EROC,2026-08-13,fact,"业务：为数据中心与公用事业提供快速部署发电容量，绕开电网并网排队",unverified_secondary,medium,"技术路线（燃气轮机/往复机/燃料电池）OPEN — 这是本案商业模式的核心未知"
E004,SRC-WS1,Financials,EROC,2026-06-30,reported_number,"Q2'26 收入 $39.9M，环比 +26%",unverified_secondary,medium,"与 E005 同期不同向，见 E006 冲突说明"
E005,SRC-ART,Financials,EROC,2026-06-30,reported_number,"Q2'26 总收入 $39,878K vs 去年同期 $68,458K，同比 -41.7%",unverified_secondary,low,"仅来自自媒体文章截图的 10-Q 表格；未经独立源核实"
E006,SRC-WS1,Financials,EROC,2026-06-30,CONFLICT,"二手标题冲突：investing.com 作 'jumps 23% after Q2 revenue surge'；tradingkey 作 'Revenue Falls 42%'",OPEN,low,"⭐ 初步判定为可调和：环比+26%（surge）与同比-41.7%（falls 42%）同时成立，基数不同。但去年同期 $68.5M 的业务构成（IPO前口径/一次性项目？）必须由 10-Q 确认，否则'高增长'叙事的方向都不确定"
E007,SRC-ART,Financials,EROC,2026-06-30,reported_number,"毛利率 18.6%（去年同期 22.2%）；调整后毛利率 22.2%（去年 23.6%）",unverified_secondary,low,"来自文章截图；毛利率在收入下滑同时压缩"
E008,SRC-ART,Financials,EROC,2026-06-30,reported_number,"调整后 EBITDA 亏损约 $14M",unverified_secondary,low,"亏损原因（扩产投入/毛利压缩/一次性）OPEN"
E009,SRC-WS1,Backlog,EROC,2026-06-30,reported_number,"合同 backlog $1.7B，同比约 10 倍",unverified_secondary,medium,"⭐ 本案核心变量。构成（take-or-pay vs LOI）完全 OPEN — 这是本案最重要的未知"
E010,SRC-WS1,Backlog,EROC,2026-06-30,fact,"backlog 含一笔 Anthropic 470MW 订单",unverified_secondary,medium,"⭐ 与 lab 已有线索联动：WULF 的 Anthropic 20年 ~$19B 肯塔基租约（studies/…/README.md s18）。同一买家在电力侧的第二次出现"
E011,SRC-WS1,Balance,EROC,2026-06-30,reported_number,"无限制现金 $627M；零负债；$250M 未提取信贷额度",unverified_secondary,medium,"IPO 募资后；现金消耗速度 OPEN"
E012,SRC-ART,Price,EROC,2026-08,market,"股价约 $17（文章写作时）",unverified_secondary,low,"精确日期未知；市值/股本/EV 全部 OPEN"
E013,SRC-REPO,Sentiment,EROC,2026-08-13,sentiment,"美股投资网（TradesMax）微信长文推荐，101赞/544转发，含'EROC值多少钱？三种情况'估值段",verified_primary_as_sentiment,high,"⭐ 该文本身是 SENTIMENT 层一手证据（我方直接观察到）。其数字为 C 级，其存在为 A 级"
E014,SRC-REPO,Sentiment,EROC,2024-2026,pattern,"该来源 AI 电力主题谱系：2024-04 VST/CEG/NRG（明示 $70 进场）→ 2024-10 核能 NNE/OKLO/SMR → 2026-08 EROC",verified_repo,high,"来自 notes/videos/ 124 篇存档。标的一代比一代小、一代比一代早期 = 主题成熟度指标"
E015,SRC-REPO,CrossRead,EROC,2026-08-13,interpretation,"EROC 与 NBIS/IREN 同属'AI 电力瓶颈'主线，但位于不同环节：NBIS 卖算力、IREN 卖机房托管、EROC 卖发电容量本身",derived,medium,"IREN cross_read 的结论'真正稀缺的不是电，是把电变成 AI-ready 机房的工程与时间'直接适用于 EROC 的检验：EROC 声称解决的正是这个转化环节的上游"
OPEN-1,,Business,EROC,,OPEN,"技术路线与设备供应链：自制还是集成？依赖哪家涡轮机/发动机厂？设备本身是否排队？",OPEN,,"⚠️ 决定护城河有无的头号问题。若为纯集成商且设备可自由采购 = 无壁垒"
OPEN-2,,Backlog,EROC,,OPEN,"$1.7B backlog 构成：take-or-pay 占比、LOI 占比、交付时间表、对应 MW 数",OPEN,,"⚠️ 决定'17亿是收入还是意向'"
OPEN-3,,Ownership,EROC,,OPEN,"IPO 锁定期到期日（2026年6月IPO → 约2026年12月）、可解禁股数占比、是否有股价达标提前解禁条款",OPEN,,"⚠️ 头号供给冲击风险，且时点已近"
OPEN-4,,Valuation,EROC,,OPEN,"总股本、市值、EV、EV/Sales、EV/backlog；与 BE/GEV/GNRC/VRT 可比",OPEN,,"无此项无法判断 $17 是什么位置"
OPEN-5,,Competition,EROC,,OPEN,"竞争者清单与相对位置（Bloom/GEV/CAT/Cummins/VoltaGrid/ProEnergy/PowerSecure/Aggreko…）",OPEN,,"决定这是壁垒生意还是'有钱就能做'"
OPEN-6,,Risk,EROC,,OPEN,"天然气发电的环保许可尾部风险（xAI 孟菲斯先例）；各州与 EPA 态度",OPEN,,"若技术路线为燃气则必查"
OPEN-7,,Management,EROC,,OPEN,"CEO/CFO 背景、创始人、此前业绩",OPEN,,"operator_underwriting 模块的输入，本次未跑"
