scenario,horizon_yrs,rev_cagr_assumed,exit_adj_ebitda_margin,exit_ev_ebitda_multiple,rev_terminal_usd_b,ebitda_terminal_usd_b,net_cash_terminal_usd_b,ev_terminal_usd_b,equity_terminal_usd_b,price_terminal_usd,irr_pct,vs_8pct_hurdle
bear,3,-0.02,0.30,12.0,4.84,1.453,0.3,17.44,17.74,122.97,-15.1,FAIL
bear,5,-0.02,0.28,11.0,4.65,1.303,0.0,14.33,14.33,99.33,-12.7,FAIL
base,3,0.07,0.335,15.8,6.30,2.112,1.5,33.37,34.87,241.75,6.0,FAIL
base,5,0.07,0.34,15.8,7.22,2.454,3.2,38.77,41.97,291.01,7.9,FAIL
bull,3,0.11,0.35,19.0,7.04,2.463,2.0,46.80,48.80,338.35,18.4,PASS
bull,5,0.11,0.36,20.0,8.67,3.122,4.5,62.44,66.94,464.07,18.4,PASS

# Methodology notes:
# - Base year (Yr0) = FY2025 actuals: revenue $5.1463B, operating margin 32.75%, operating income $1.685B. D&A not separately disclosed in sources reviewed this run (OPEN item, consistent with GEHC exemplar's O2) -- estimated at 3.5% of revenue (same convention as GEHC dossier) giving est. FY2025 EBITDA ~$1.866B (36.2% margin).
# - Current price $209.63; shares 144.24M; market cap $30.24B; net CASH (Q3 FY26 basis, stockanalysis.com debt figure $843.17M vs cash $1.66B) ~$0.82B -- NOTE this is net CASH not net debt (opposite sign convention from GEHC), so EV = market cap MINUS net cash = ~$29.42B.
# - Current implied EV/EBITDA (FY25-basis EBITDA): ~15.8x -- this is the ENTRY multiple; base case holds this multiple constant (no re-rate assumed), consistent with the GEHC exemplar's "base case = no multiple re-rate" convention.
# - Peer/context note: this 15.8x entry multiple is meaningfully richer than GEHC's ~9.7x or the Siemens Healthineers ~7.9x EV/EBITDA peer anchor used in that dossier -- reflecting RMD's structurally higher margins (32.75% operating margin vs GEHC's 13.4% adj EBIT margin), net-CASH balance sheet, and duopoly-with-tailwind positioning, but also meaning RMD is NOT a "statistically cheap" setup on an absolute multiple basis even before considering the GLP-1 debate.
# - BEAR: GLP-1-driven new-patient-funnel shrinkage materializes (Kill Path 1 in inversion_map.md) -- revenue CAGR turns NEGATIVE (-2%/yr) as device/mask volume growth reverses; margin compresses modestly (36.2% -> 30%/28%) as fixed-cost deleverage bites on a shrinking base; multiple de-rates sharply (12.0x/11.0x) reflecting a growth-to-value repricing typical of a thesis-broken medtech name; net cash nearly depleted by continued buybacks against a weakening business.
# - BASE: revenue growth moderates from the current +9-11% pace to a durable +7%/yr (GLP-1 nets out roughly neutral -- diagnosis-funnel expansion per company data partially offsets any funnel-narrowing effect; category growth + international expansion continue); margin holds near current levels (33.5%/34.0%, roughly in line with the Q3 FY26 62.2% GROSS margin trend translating to a similar OPERATING-margin trajectory); multiple HOLDS CONSTANT at the 15.8x entry level (no re-rate assumed in either direction) -- consistent with the disciplined "base case = today's price already reflects today's evidence" convention used in the GEHC exemplar.
# - BULL: GLP-1 proves a genuine "demand gen" tailwind per CEO Farrell's framing and the company's own resupply/adherence data (facts.md E39-E43) -- revenue CAGR reaccelerates to +11%/yr; Smart Comfort/AirView AI layer proves monetizable via improved mix/ASP, expanding margin further (35%/36%); multiple re-rates UP (19.0x/20.0x) reflecting confirmed AI differentiation + durable double-digit growth + net-cash balance sheet supporting continued buybacks/M&A optionality.
# - Dividend yield contribution: ~1.14%/yr added to the price-CAGR component for total IRR (current stated yield 1.14%, internally consistent -- see facts.md E51 cross-check against E32's raw dividend dollars).
# - 8% hurdle: BEAR fails badly at both horizons (-15.1% / -12.7%); BASE fails narrowly at 3yr (+6.0%) and comes CLOSE but still fails at 5yr (+7.9%, just under the 8% bar); BULL clears comfortably at both horizons (+18.4% at both 3yr and 5yr). This is a materially DIFFERENT shape than the GEHC exemplar (where base was ~flat/slightly negative) -- RMD's base case is POSITIVE and close to (though technically just under) the hurdle, meaning a modest improvement in ANY input assumption (slightly higher growth, slightly higher exit multiple, or simply the passage of time compounding the net-cash build) could tip the base case over the 8% line. This is a genuinely closer call than GEHC's clearly-sub-hurdle base case.
