id,claim,value,unit,as_of_date,source_url,source_type,priority,notes
P1A-001,CVS Health total revenue 2024,372.81,USD billion,2024-12-31,https://investors.cvshealth.com/news/news-details/2025/CVS-HEALTH-CORPORATION-REPORTS-FOURTH-QUARTER-AND-FULL-YEAR-2024-RESULTS/default.aspx,company-press,P1,Full-year 2024 result press release
P1A-002,CVS Health Services Segment revenue 2024,173.6,USD billion,2024-12-31,https://www.healthcaredive.com/news/cvs-q4-2024-earnings-medical-costs-profit-slashed/739959/,industry-press,P1,Down 7.1% YoY due to Centene loss
P1A-003,CVS Health Services Segment revenue 2023,186.8,USD billion,2023-12-31,https://www.managedhealthcareexecutive.com/view/cvs-s-health-services-revenue-grew-to-186-8-billion,industry-press,P1,Pre-Centene loss
P1A-004,CVS Health Services Adj Operating Income 2024,7.2,USD billion,2024-12-31,https://www.healthcaredive.com/news/cvs-q4-2024-earnings-medical-costs-profit-slashed/739959/,industry-press,P1,-0.9% YoY
P1A-005,CVS Health Services Operating Margin 2024,4.15,percent,2024-12-31,calculated,derived,P1,7.2 / 173.6
P1A-006,CVS Pharmacy & Consumer Wellness revenue 2024,124.5,USD billion,2024-12-31,https://www.webull.com/news/12300231250835456,company-10K-summary,P2,Retail segment (not PBM)
P1A-007,CVS Pharmacy & Consumer Wellness Adj OI 2024,5.8,USD billion,2024-12-31,https://www.webull.com/news/12300231250835456,company-10K-summary,P2,-3.2% YoY retail pressure
P1A-008,CVS PBM market share 2024,27,percent,2024-12-31,https://www.drugchannels.net/2025/03/the-top-pharmacy-benefit-managers-of.html,industry-analyst,P1,Down from 34% in 2023 (Centene loss)
P1A-009,CVS Caremark 2024 30-day equivalent claims,1.9,billion,2024-12-31,https://www.drugchannels.net/2025/03/the-top-pharmacy-benefit-managers-of.html,industry-analyst,P1,-18.2% from 2.3B in 2023
P1A-010,CVS 9000 retail stores,9000,store count,2024-12-31,https://www.webull.com/news/12300231250835456,company-10K-summary,P2,Continued store rationalization
P1A-011,Cigna total revenue 2024,247.1,USD billion,2024-12-31,https://newsroom.thecignagroup.com/2025-01-30-The-Cigna-Group-Reports-Fourth-Quarter-and-Full-Year-2024-Results,company-press,P1,+27% YoY Evernorth driven
P1A-012,Cigna Evernorth Pharmacy Benefit Services revenue 2024,111.8,USD billion,2024-12-31,https://newsroom.thecignagroup.com/2025-01-30-The-Cigna-Group-Reports-Fourth-Quarter-and-Full-Year-2024-Results,company-press,P1,+46% from 76.8B in 2023 (Centene win)
P1A-013,Cigna Evernorth Specialty Care Services revenue 2024,90.3,USD billion,2024-12-31,https://www.managedhealthcareexecutive.com/view/cigna-s-27-revenue-increase-in-2024-and-the-outlook-on-2025,industry-press,P1,+18% from 76.7B in 2023
P1A-014,Cigna Evernorth Total Adj Revenue 2024,202.1,USD billion,2024-12-31,calculated,derived,P1,PBS 111.8 + SCS 90.3
P1A-015,Cigna Evernorth Adj Revenue Growth 2024,32,percent,2024-12-31,https://www.managedhealthcareexecutive.com/view/cigna-s-27-revenue-increase-in-2024-and-the-outlook-on-2025,industry-press,P1,Full year YoY
P1A-016,Cigna Evernorth Adj Income From Operations Growth 2024,9,percent,2024-12-31,https://www.managedhealthcareexecutive.com/view/cigna-s-27-revenue-increase-in-2024-and-the-outlook-on-2025,industry-press,P1,YoY (absolute $ not stated)
P1A-017,Cigna Express Scripts Q4 2024 adj operating income,1.2,USD billion,2024-12-31,https://www.modernhealthcare.com/insurance/mh-cigna-earnings-evernorth-health-express-scripts/,industry-press,P2,Q4 only - extrapolated annual ~4.5-5B
P1A-018,Cigna Specialty Q4 2024 adj operating income,948,USD million,2024-12-31,https://www.modernhealthcare.com/insurance/mh-cigna-earnings-evernorth-health-express-scripts/,industry-press,P2,Q4 only +27% YoY
