company,2023_revenue_亿,2024_revenue_亿,YoY%,2025E,2026E,2027E,2028E,note
京东健康,535,582,8.6%,632,686,745,809,假设维持 8.6% CAGR; +275 亿增量 [L3.C.internet.01]
阿里健康,270,306,13.2%,346,392,443,502,FY 维持 13.2%; +232 亿增量 [L3.C.internet.09]
拼多多医药,~400,~600,50%,750,937,1172,1465,30-50% 中位 [L3.C.internet.19+21]
拼多多医药_保守,,~600,30%,780,1014,1318,1714,30% 下限
拼多多医药_激进,,~600,50%,900,1350,2025,3038,50% 上限
平安健康,46.7,48.08,2.9%,49.5,50.9,52.3,53.8,几乎停滞 [L3.C.internet.23]
3 强合计_base,851.7,936.08,,1182,1428,1742,2122,京东+阿里+平安+拼多多保守
3 强合计_激进,851.7,936.08,,1396,1872,2614,3552,京东+阿里+平安+拼多多激进
takeaway_1,,,,,,,,2024 互联网医药四强营收 ~936 亿 已超过 4 大连锁 (909 亿) — L3 内重大份额转移信号
takeaway_2,,,,,,,,2028 互联网医药四强保守预测 = 2122 亿 = 已经超过当前 L3 全部连锁药店营收
takeaway_3,,,,,,,,拼多多医药 2028 激进情景 3038 亿 = 接近京东健康 + 阿里健康总和 = 平台模式将主导
takeaway_4,,,,,,,,京东健康 + 阿里健康 自营增速放缓 (~10%) vs 平台业务暴涨 (+54% 阿里 / +24% 京东) = 战略向平台转型
takeaway_对L2和L4影响,,,,,,,,互联网医药扩张 → 处方流向互联网 → 三甲医院药剂科 (L4) 流量被分 + 医保支付改革 (L2) 加速
employment_implication,,,,,,,,如果互联网医药 4 强 2028 = 2122 亿 / 当前员工 ~14000 → 单人产出维持 16+ 亿/人级别 = 员工不会大幅扩 (10-30%)
employment_拼多多模式扩散,,,,,,,,如果拼多多平台模式被京东/阿里部分学习 → 自营人力可能下降 30-50%
