claim_id,source_id,layer,entity,date_or_period,claim_type,claim,status,confidence,notes
I001,SRC-I1,Financials,IREN,Q1-FY26,reported_number,"Q1 FY26 (Sep'25季) 营收 $240.3M +355% YoY; 净利 $384.6M (PY -$51.7M)",unverified_secondary,medium,"净利大概率含 BTC 公允价值重估, 需拆; 与 NBIS C008 同类陷阱"
I002,SRC-I1,Financials,IREN,Q2-FY26,reported_number,"Q2 FY26 (Dec'25季) 营收 $184.7M; 净亏 -$155.4M",unverified_secondary,medium,"环比 -23%"
I003,SRC-I2,Financials,IREN,Q3-FY26,reported_number,"Q3 FY26 (Mar'26季) 营收 $144.8M vs 一致预期 $219.87M => miss 34.1%; EPS -$0.30 vs -$0.2161",unverified_secondary,medium,"⭐ 连续第二季环比下滑; Q1->Q3 累计 -40%"
I004,,Financials,IREN,Q1-Q3 FY26,derived,"营收连续两季环比下滑: $240.3M -> $184.7M -> $144.8M",derived,medium,"衍生自 I001-I003. 解释假设: BTC 挖矿收入萎缩(算力转 AI)而 AI 收入未接上 => 转型 J 曲线谷底。假设待验证"
I005,SRC-I3,Contracts,IREN,FY26,contract_term,"Microsoft AI cloud 合同 $9.7B, 预计年化 ~$1.94B ARR",unverified_secondary,medium,"锚客户与 NBIS 同为 MSFT —— 交叉风险: 同一买家同时是两家的最大客户"
I006,SRC-I2,Contracts,IREN,Q3-FY26,reported_number,"已签约 ARR $3.1B: MSFT $1.9B + NVIDIA $0.7B(风冷 Blackwell, 2027初 ramp) + Prince George ~$0.5B",unverified_secondary,medium,""
I007,SRC-I1,Contracts,IREN,FY26,reported_number,"新增多年期云服务合同 $2.8B TCV; 年底 AI Cloud ARR 目标自 $3.7B 上调至 >$4B, 约 85% 已签约",unverified_secondary,medium,""
I008,SRC-I2,Power,IREN,2026-2028,guidance,"AI Cloud 产能 ~3MW -> 480MW (2026, 150k GPU); 1.2GW (2027); 5GW 数据中心容量 (2028)",unverified_secondary,medium,""
I009,SRC-I1,Power,IREN,2026,reported_number,"140k GPU 的扩张仅占其 ~3GW 电网已连接电力组合的 16%",unverified_secondary,low,"⭐ LEAD 问题的核心数字。'grid-connected' 定义需一手源确认: 是已通电可用, 还是已获并网许可?"
I010,SRC-I2,Power,IREN,FY26,qualitative,"在建项目: Childress Horizon 5-6 新建 100MW 液冷 + 改造 250MW 存量风冷; Sweetwater 1 新增 300MW; Canal Flats 转换 30MW",unverified_secondary,medium,"⭐ '改造 250MW 存量风冷'是 LEAD 问题的直接证据: 存量矿场电力要变 AI 产能需重资本改造, 不是插上就能用"
I011,SRC-I2,Partnership,IREN,FY26,qualitative,"与 NVIDIA 建立合作; 计划 2028 达 5GW",unverified_secondary,low,""
I012,SRC-I4,Valuation,IREN,2026-08,reported_number,"股价 $34.83 (当周 -17%); 市值 $14.19B; 追踪 P/E 78.8x",unverified_secondary,low,"6/22 市值曾 $21.43B => 已 -34%。价格需行情源核实"
I013,SRC-I4,Valuation,IREN,2026-08,reported_number,"分析师一致目标价 $81.73 (+135%), 评级 Buy",unverified_secondary,low,"卖方目标价, 按 source_policy 属 C2 层, 不进 facts"
I014,SRC-I4,Corporate,IREN,2026-08-04,reported_number,"完成收购 Mirantis, Inc.",unverified_secondary,low,"标的与对价未取得; Mirantis 为 K8s/云基础设施软件商 => 疑为补软件栈"
I015,,Pricing,IREN;NBIS,2026,derived,"单 MW 定价交叉检验: IREN 480MW/$4B ARR = $8.33M/MW; NBIS 成交均值 >$20M/MW, 新签 $40-50M/MW => 差 2.4x~5.4x",CONFLICT,low,"⭐⭐ 本次最重要的未解项。候选解释: (a)口径不同(总容量 vs 已部署) (b)GPU代际(液冷GB300/Rubin vs 风冷Blackwell) (c)机架密度 (d)其中一方数字有误。必须解决 —— 它同时决定 NBIS 定价叙事和 IREN 估值"
I016,,Concentration,IREN;NBIS,2026,derived,"Microsoft 同时是 NBIS(~$17B) 与 IREN(~$9.7B) 的最大客户",derived,medium,"⭐ 组合层风险: 若同时持有两者, 实际是对 MSFT 一家采购决策的双重敞口"
I017,,Financials,IREN,FY26,,"Q4 FY26 + 全年业绩",OPEN,none,"2026-08-27 盘后发布。距今 15 天 —— 此时定裁决是浪费"
I018,,Power,IREN,2026,,"'3GW grid-connected' 的确切定义与可用状态",OPEN,none,"blocking LEAD 问题"
I019,,Financials,IREN,Q1-FY26,,"$384.6M 净利中 BTC 公允价值重估占多少",OPEN,none,"不拆开无法判断真实盈利能力"
