sub_layer,company,employees_2024,data_quality,source_id
流通批发,国药控股,120000,估算_行业摘要,L3.A.flow.03
流通批发,上海医药,49402,实证_年报,L3.A.flow.16
流通批发,华润医药,72700,估算_PitchBook+评级报告,L3.A.flow.26
流通批发,九州通,30169,实证_年报,L3.A.flow.39
流通批发,重庆医药联合体,~25000,估算_行业摘要,业内估算 营收 1000 亿/人均 400 万产出
流通批发,国药一致,~15000,估算,2024 营收 ~700 亿 国大已计入国药
流通批发,小计_前 5 大,~287000,,
流通批发,其他区域中小流通商,~150000,估算,两票制后大量出清 但仍存数百家
流通批发,流通批发_合计估,~440000,,
连锁零售,大参林,53000,估算_2023+扩张,L3.B.retail.06 基础上 +17% 扩张
连锁零售,益丰药房,40018,实证_年报,L3.B.retail.12
连锁零售,老百姓,~40000,估算_对标益丰,门店相近
连锁零售,一心堂,~25000,估算_2024,11000 门店 × 人均
连锁零售,漱玉平民,~12000,估算_行业,7000 门店
连锁零售,健之佳,~9000,估算_行业,5500 门店
连锁零售,国大药房,~25000,估算_已计入国药,9569 门店 但已计入流通批发
连锁零售,海王星辰,~10000,估算_行业,3500 门店
连锁零售,长尾连锁+单体药店,~600000,估算_业内,全国 ~50 万家药店 平均 1-2 人/店
连锁零售,连锁零售_合计估,~770000,,
互联网医药,京东健康,3118,实证_2024年报,L3.C.internet.08
互联网医药,阿里健康,1435,实证_2024年报,L3.C.internet.18
互联网医药,平安健康,1446,实证_2024 H1,L3.C.internet.30
互联网医药,拼多多医药,15,实证_第一财经,L3.C.internet.20
互联网医药,1药网,~3000,估算,
互联网医药,微医集团,~5000,估算,在线问诊 + 各种业务
互联网医药,互联网医药_合计估,~14000,,远小于其他子层
DTP_TPA,思派健康,~2000,估算_港股小公司,95 药房 + 总部 + IT
DTP_TPA,镁信健康,~1500,估算_招股书,平台模式 不大
DTP_TPA,圆心科技,~3000,估算_2021研发 553 + 药房,
DTP_TPA,水滴公司,~3000,估算,主要保险经纪
DTP_TPA,DTP_TPA_合计估,~10000,,
医药物流,国药物流,~50000,估算,国药控股已含
医药物流,九州通物流,~10000,估算,九州通已含
医药物流,顺丰医药,~5000,估算,顺丰子公司
医药物流,京东物流医药线,~5000,估算,京东物流子线
医药物流,医药物流_合计估,~15000,,大部分已计入流通商
医疗器械流通,国药器械,~30000,估算,2024 营收 ~1180 亿
医疗器械流通,嘉事堂,~8000,估算,营收 ~300 亿
医疗器械流通,国际医药,~5000,估算,
医疗器械流通,区域器械经销商,~50000,估算,数百家
医疗器械流通,医疗器械流通_合计估,~90000,,
L3_grand_total,所有合计_去重后,~1300000-1500000,,
L3_caveat,合计含估算和重叠口径,,误差±30%,实际 L3 总就业 130-150 万人 远高于我之前估的 270 万 (我之前估算过高 包含太多重叠)
L3_对比,L3 实际 130-150 万 vs L1 监管 30-50 万 vs L2 付费 50-100 万,,,L3 仍是最大就业层
L3_关键校正,我之前 L3 写"270 万就业",,实际更接近 130-150 万,因为流通批发+物流大量重叠 / 连锁单体药店估算偏高
