source_id,claim,value,unit,as_of,retrieved_at,source_type,source_url_or_path,reliability_note,destination
YAHOO-TEM-PRICE,TEM last close on/before 2026-07-04,60.27,USD,2026-07-02,2026-07-04,B1,https://query1.finance.yahoo.com/v8/finance/chart/TEM,Frozen input per brief; cross-checked vs independent websearch ($60.04) within 0.4%,EVIDENCE
TEM-WEBSEARCH-PRICE,TEM price cross-check 2026-07-04,60.04,USD,2026-07-04,2026-07-04,B2,websearch aggregation (Perplexity Finance/MarketBeat),Independent 2nd source; day range $58.91-$63.10; not a 52wk low/high hug,EVIDENCE
TEM-WEBSEARCH-PRICE,TEM 52-week high,104.32,USD,2026-07-04,2026-07-04,B2,websearch aggregation,Price $60.27 is 42% below 52wk high,EVIDENCE
TEM-WEBSEARCH-PRICE,TEM 52-week low,41.73,USD,2026-07-04,2026-07-04,B2,websearch aggregation,Price $60.27 is 44% above 52wk low; NOT a low-hug,EVIDENCE
TEM-10Q-Q1-2026,TEM shares outstanding (Class A + Class B),179404620,shares,2026-03-31,2026-07-04,A1,https://www.sec.gov/Archives/edgar/data/0001717115/000119312526206356/tem-20260331.htm,174360831 Class A + 5043789 Class B per 10-Q cover/balance sheet,EVIDENCE
DERIVED,TEM market cap at $60.27,10812684000,USD,2026-07-04,2026-07-04,DERIVED,179404620 shares x $60.27,Derived from shares outstanding x as_of_price,EVIDENCE
TEM-10K-FY25,TEM FY2025 total net revenue,1271.8,USD M,2025-12-31,2026-07-04,A1,https://www.sec.gov/Archives/edgar/data/0001717115/000119312526066961/tem-20251231.htm,Diagnostics $955.4M + Data and applications $316.4M; +83.4% YoY,EVIDENCE
TEM-10K-FY25,TEM FY2025 Diagnostics revenue,955.4,USD M,2025-12-31,2026-07-04,A1,https://www.sec.gov/Archives/edgar/data/0001717115/000119312526066961/tem-20251231.htm,+111.5% YoY; includes Ambry Hereditary contribution,EVIDENCE
TEM-10K-FY25,TEM FY2025 Data and applications revenue,316.4,USD M,2025-12-31,2026-07-04,A1,https://www.sec.gov/Archives/edgar/data/0001717115/000119312526066961/tem-20251231.htm,+30.9% YoY; Insights sub-line +38.0%,EVIDENCE
TEM-10K-FY25,TEM FY2025 net loss,-245.0,USD M,2025-12-31,2026-07-04,A1,https://www.sec.gov/Archives/edgar/data/0001717115/000119312526066961/tem-20251231.htm,Improved from -$705.8M FY2024 (large one-off warrant charge in FY24),EVIDENCE
TEM-8K-4Q25-ER,TEM FY2025 Adjusted EBITDA,-7.4,USD M,2025-12-31,2026-07-04,A1,https://www.sec.gov/Archives/edgar/data/0001717115/000119312526066931/tem-ex99_1.htm,Improved $97.3M YoY from -$104.7M FY2024,EVIDENCE
TEM-8K-4Q25-ER,TEM Q4 2025 Adjusted EBITDA,12.9,USD M,2025-12-31,2026-07-04,A1,https://www.sec.gov/Archives/edgar/data/0001717115/000119312526066931/tem-ex99_1.htm,First meaningfully positive adj-EBITDA quarter; vs -$7.8M Q4-2024,EVIDENCE
TEM-10K-FY25,TEM FY2025 stock-based compensation,124.7,USD M,2025-12-31,2026-07-04,A1,https://www.sec.gov/Archives/edgar/data/0001717115/000119312526066961/tem-20251231.htm,Non-cash OCF addback; FY2024 was $534.1M (IPO-vesting driven),EVIDENCE
TEM-8K-4Q25-ER,TEM Total Remaining Contract Value at YE2025,1100,USD M,2025-12-31,2026-07-04,A1,https://www.sec.gov/Archives/edgar/data/0001717115/000119312526066931/tem-ex99_1.htm,>$1.1B stated; Net Revenue Retention 126%,EVIDENCE
TEM-10K-FY25,TEM cash and cash equivalents YE2025,604.787,USD M,2025-12-31,2026-07-04,A1,https://www.sec.gov/Archives/edgar/data/0001717115/000119312526066961/tem-20251231.htm,Up from $340.954M YE2024,EVIDENCE
TEM-10K-FY25,TEM FY2025 net cash used in operating activities,-218.090,USD M,2025-12-31,2026-07-04,A1,https://www.sec.gov/Archives/edgar/data/0001717115/000119312526066961/tem-20251231.htm,vs -$189.045M FY2024; burn/revenue ratio improved sharply,EVIDENCE
TEM-10K-FY25,TEM FY2025 net cash used in investing activities,-398.355,USD M,2025-12-31,2026-07-04,A1,https://www.sec.gov/Archives/edgar/data/0001717115/000119312526066961/tem-20251231.htm,$376.7M for Ambry/Paige/Deep6/OneOme acquisitions,EVIDENCE
TEM-10K-FY25,TEM FY2025 net cash provided by financing activities,884.123,USD M,2025-12-31,2026-07-04,A1,https://www.sec.gov/Archives/edgar/data/0001717115/000119312526066961/tem-20251231.htm,Convertible Notes $726.5M + Term Loan $196.0M + ATM $195.5M + Revolver $98.0M net of repayments,EVIDENCE
TEM-10K-FY25,TEM accumulated deficit YE2025,2400,USD M,2025-12-31,2026-07-04,A1,https://www.sec.gov/Archives/edgar/data/0001717115/000119312526066961/tem-20251231.htm,Explicit 10-K statement ($2.4 billion); precise balance sheet figure $2395.862M,EVIDENCE
TEM-10K-FY25,TEM ATM facility remaining availability YE2025,300.0,USD M,2025-12-31,2026-07-04,A1,https://www.sec.gov/Archives/edgar/data/0001717115/000119312526066961/tem-20251231.htm,Active dilution lever; equity raised via ATM already in FY2025,EVIDENCE
TEM-10K-FY25,TEM convertible notes conversion price,84.19,USD,2025-12-31,2026-07-04,A1,https://www.sec.gov/Archives/edgar/data/0001717115/000119312526066961/tem-20251231.htm,11.8778 shares per $1000 principal; above current $60.27 price -- not yet ITM,EVIDENCE
TEM-10Q-Q1-2026,TEM Q1 2026 total net revenue,348.116,USD M,2026-03-31,2026-07-04,A1,https://www.sec.gov/Archives/edgar/data/0001717115/000119312526206356/tem-20260331.htm,+36.1% YoY vs $255.737M Q1-2025,EVIDENCE
TEM-10Q-Q1-2026,TEM Q1 2026 Diagnostics revenue,261.098,USD M,2026-03-31,2026-07-04,A1,https://www.sec.gov/Archives/edgar/data/0001717115/000119312526206356/tem-20260331.htm,+34.7% YoY; volume ~218000 tests vs ~153000 Q1-2025,EVIDENCE
TEM-10Q-Q1-2026,TEM Q1 2026 Data and applications revenue,87.018,USD M,2026-03-31,2026-07-04,A1,https://www.sec.gov/Archives/edgar/data/0001717115/000119312526206356/tem-20260331.htm,+40.5% YoY; includes $21.823M related-party revenue vs $0.631M prior year,EVIDENCE
TEM-10Q-Q1-2026,TEM Q1 2026 loss from operations,-84.711,USD M,2026-03-31,2026-07-04,A1,https://www.sec.gov/Archives/edgar/data/0001717115/000119312526206356/tem-20260331.htm,vs -$68.689M Q1-2025,EVIDENCE
TEM-10Q-Q1-2026,TEM Q1 2026 net loss,-125.919,USD M,2026-03-31,2026-07-04,A1,https://www.sec.gov/Archives/edgar/data/0001717115/000119312526206356/tem-20260331.htm,Wider than Q1-2025 -$68.037M mainly due to non-recurring $46.18M tax benefit in Q1-2025 comp base,EVIDENCE
TEM-10Q-Q1-2026,TEM Q1 2026 stock-based compensation,52.706,USD M,2026-03-31,2026-07-04,A1,https://www.sec.gov/Archives/edgar/data/0001717115/000119312526206356/tem-20260331.htm,Cash flow statement addback,EVIDENCE
TEM-10Q-Q1-2026,TEM Q1 2026 net cash used in operating activities,-73.277,USD M,2026-03-31,2026-07-04,A1,https://www.sec.gov/Archives/edgar/data/0001717115/000119312526206356/tem-20260331.htm,Improved ~31% from -$105.624M Q1-2025 despite 36% revenue growth,EVIDENCE
TEM-10Q-Q1-2026,TEM Q1 2026 capex (property and equipment),8.202,USD M,2026-03-31,2026-07-04,A1,https://www.sec.gov/Archives/edgar/data/0001717115/000119312526206356/tem-20260331.htm,Plus $1.865M capitalized software,EVIDENCE
TEM-10Q-Q1-2026,TEM cash and cash equivalents as of March 31 2026,521.170,USD M,2026-03-31,2026-07-04,A1,https://www.sec.gov/Archives/edgar/data/0001717115/000119312526206356/tem-20260331.htm,Down from $604.787M YE2025 (-$83.6M net decrease),EVIDENCE
TEM-10Q-Q1-2026,TEM total assets as of March 31 2026,2135.091,USD M,2026-03-31,2026-07-04,A1,https://www.sec.gov/Archives/edgar/data/0001717115/000119312526206356/tem-20260331.htm,,EVIDENCE
TEM-10Q-Q1-2026,TEM total liabilities as of March 31 2026,1718.686,USD M,2026-03-31,2026-07-04,A1,https://www.sec.gov/Archives/edgar/data/0001717115/000119312526206356/tem-20260331.htm,Convertible senior notes $729.267M + term loan $204.624M + revolver $100.0M + convertible promissory note $199.279M = ~$1.233B gross debt,EVIDENCE
TEM-10Q-Q1-2026,TEM total stockholders equity as of March 31 2026,416.405,USD M,2026-03-31,2026-07-04,A1,https://www.sec.gov/Archives/edgar/data/0001717115/000119312526206356/tem-20260331.htm,Down from $491.326M YE2025,EVIDENCE
TEM-10Q-Q1-2026,TEM accumulated deficit as of March 31 2026,2521.781,USD M,2026-03-31,2026-07-04,A1,https://www.sec.gov/Archives/edgar/data/0001717115/000119312526206356/tem-20260331.htm,Grew ~$126M in one quarter,EVIDENCE
TEM-10Q-Q1-2026,TEM related party asset SB Tempus investment,81.7,USD M,2026-03-31,2026-07-04,A1,https://www.sec.gov/Archives/edgar/data/0001717115/000119312526206356/tem-20260331.htm,VIE equity-method investment; Tempus not primary beneficiary,EVIDENCE
TEM-10Q-Q1-2026,TEM related party revenue Q1 2026,21.823,USD M,2026-03-31,2026-07-04,A1,https://www.sec.gov/Archives/edgar/data/0001717115/000119312526206356/tem-20260331.htm,vs $0.631M Q1-2025 -- fast-growing related-party line (SB Tempus/Pathos),EVIDENCE
TEM-8K-4Q25-ER,TEM FY2026 revenue guidance,1590,USD M,2026-02-24,2026-07-04,A1,https://www.sec.gov/Archives/edgar/data/0001717115/000119312526066931/tem-ex99_1.htm,~25% annual growth; reiterated (not raised) at Q1 2026 per 2 independent secondary sources,EVIDENCE
TEM-8K-4Q25-ER,TEM FY2026 Adjusted EBITDA guidance,65,USD M,2026-02-24,2026-07-04,A1,https://www.sec.gov/Archives/edgar/data/0001717115/000119312526066931/tem-ex99_1.htm,Reiterated at Q1 2026 per websearch cross-check,EVIDENCE
TEM-TRADEPRESS-ASTRAZENECA,TEM AstraZeneca/Pathos data deal value,200,USD M,2025-01-01,2026-07-04,B1,https://www.fiercebiotech.com/biotech/tempus-ai-line-200m-astrazeneca-pathos-deal-develop-cancer-model,Cross-checked 2 independent trade outlets (FierceBiotech + Pharmaceutical Technology); not SEC-primary dollar figure,EVIDENCE
TEM-TRADEPRESS-GSK,TEM GSK data deal upfront value,70,USD M,2025-01-01,2026-07-04,B2,search - trade press,Single/thin-sourced; OPEN item for exact confirmation,OPEN
TEM-SEARCH-LEFKOFSKY,Lefkofsky combined voting power,59.9,%,2025-03-18,2026-07-04,B1,search - governance tracker cross-checked against 10-K Class B share count,39825028 Class A + all 5043789 Class B shares = 30 votes/share on Class B,EVIDENCE
TEM-10K-FY25,TEM Class B voting rights per share,30,votes,2026-02-24,2026-07-04,A1,https://www.sec.gov/Archives/edgar/data/0001717115/000119312526066961/tem-20251231.htm,High even among dual-class structures (10/share typical 20/share considered high),EVIDENCE
