indicator,2010,2015,2017,2020,2023,2024,trend_signal,note
医药流通行业利润率,2.2%,~2.0%,~1.9%,~1.7%,1.6%,~1.5-1.6%,持续下行,信用展望 2025 报告 [L3.E.industry.08-09]
集采批次累计,0,0,1,5,10,11,加速,2018 首批 4+7 至 2024 第十批
两票制全国推开,未实施,未实施,2017,已实施,已实施,已实施,2017 转折点,
国药控股_毛利率,~9%,~8%,~7%,~7%,~7%,~6.7%,微降,行业整体趋势
上海医药_毛利率,,,,,~10%,~9.1%,微降,2024 毛利率下降 0.91 pp [L3.A.flow.14]
华润医药_毛利率,,,,,15.7%,15.8%,+0.1pp 稳健,2024 年报 [L3.A.flow.31]
九州通_毛利率,~8%,~8%,~8%,~8%,~8%,~8%,稳健,数字化驱动效率
大参林_毛利率,,,,~37%,~36%,~34%,下降,新店爬坡 + 集采 [L3.B.retail.02]
益丰药房_毛利率,,,,~39%,~38%,~37%,微降,集采+消费疲软
老百姓_毛利率,,,,~36%,~34%,~32%,下降,商誉减值
一心堂_毛利率,,,,~37%,~33%,31.79%,下降,从知乎 [L3.B.retail.26]
京东健康_净利率,,,,~2%,~5%,7.16%,提升,自营优化 + 平台开放
阿里健康_净利率,,,,亏损,~3%,~4.7%,提升,FY2025 净利 14.32 亿 / 营收 306 亿
takeaway_行业趋势,,,,,,,,医药流通行业利润率从 2010 的 2.2% 持续下行到 2023 的 1.6% = 14 年 -27% 累计降幅
takeaway_4_连锁,,,,,,,,4 大连锁毛利率从 ~37% 跌到 ~32-34% = 因为集采 + 处方外流 + 消费疲软 + 新店爬坡 4 重压力
takeaway_互联网,,,,,,,,京东健康 + 阿里健康净利率反向 提升 = 因为开放平台 + AI 优化 + 自营议价能力
takeaway_流通_vs_零售,,,,,,,,流通商利润率 1.6% vs 连锁药店 32% = 但流通商高周转 (ROA 接近) ;两者商业模式根本不同
key_insight,,,,,,,,L3 整层利润被挤压不可逆 → 谁能转 DTP / 互联网 / 智慧物流谁活；纯做传统流通批发的中小公司会持续出清
