scenario,rev_fy26e_anchor_usd_m,rev_growth_5y_pct,exit_ev_revenue_multiple_x,exit_year_rev_usd_m,exit_ev_usd_m,implied_5y_irr_pct,ev_multiple_needed_for_8pct_hurdle_x,note
bear,119,8,2.0,174.9,349.7,-29.5,16.89,"revenue growth decelerates to ~8%/yr as Embedded partner conversion stalls (K-3) and core POCUS faces GE Vscan Air / Philips Lumify / Clarius price competition (moat_map.md); multiple de-rates to 2.0x as the platform-optionality narrative fades and market re-prices BFLY as a struggling small-cap medtech; exit EV $349.7M vs current EV $1,871.4M -> deep permanent loss, not just underperformance."
base,119,16,3.5,249.9,874.8,-15.3,11.81,"revenue growth ~16%/yr (below FY26 guide's 20-24%, reflecting historical deceleration pattern 24.5%->19.0%->guided 20-24% and the reality that FY26 guide itself has not yet been proven over a full year); gross-margin trend (I1) continues to help unit economics but does not by itself re-rate the multiple; exit at 3.5x EV/revenue (still a premium multiple for a company that may or may not be sustainably profitable by FY31, reflecting continued -- if narrower -- cash burn and small-cap-medtech peer multiples); EVEN THE BASE CASE IS NEGATIVE at current entry price -- this is the central valuation finding."
bull,119,25,5.0,363.2,1815.8,-2.0,8.13,"revenue growth ~25%/yr (above FY26 guide's ~22% midpoint, requiring Butterfly Embedded to convert several of the '30-40 more in discussion' partners (E73) into signed, revenue-generating deals AND core POCUS to accelerate on Compass AI / Gestational Age AI adoption); exit at 5.0x EV/revenue (a full platform-company re-rate, roughly where BFLY trades on a FY26E guide basis TODAY -- i.e. bull case assumes the CURRENT rich multiple simply holds for 5 more years while growth compounds); STILL FALLS SHORT of the 8% hurdle at -2.0% IRR. This is the task's central honest finding: a standard/generous bull case is not sufficient -- the multiple would need to expand further (see aggressive-bull row), not just hold."
aggressive_bull,119,30,7.5,441.8,3313.8,10.5,6.68,"NON-BASE-CASE sensitivity row, shown for completeness only -- requires BOTH above-bull revenue growth (30%/yr, i.e. Butterfly Embedded becomes a much larger share of the business than any signed deal today supports) AND a multiple EXPANSION to 7.5x (i.e. the market must decide BFLY deserves a richer multiple than it has today, not just hold the current one) to clear the 8% hurdle. This combination (best-case growth stacked with further re-rating) is the ONLY row in this grid that clears 8%, which is the quantitative basis for the dossier's 'no margin of safety at 7.68' conclusion -- ordinary bull assumptions are not enough."
,,,,,,,,
# Reference multiples at as_of_price 7.68 (mcap 2009.4M shares 261.64M cash 137.95M EV 1871.4M),,,,,,,,
ev_rev_fy25_actual,,,19.17,97.61,,,,"EV / FY2025 actual revenue $97.61M [E15] -- current entry multiple on trailing actuals"
ev_rev_fy26e_guide_mid,,,15.73,119.0,,,,"EV / FY2026E guidance midpoint $119M (of $117-121M range, E33) -- current entry multiple on forward guide, the anchor used for the 5y scenario builds above"
mcap_rev_fy25_actual,,,20.59,97.61,,,,"Market-cap (not EV) / FY2025 revenue -- for comparison to task-brief framing of 'EV/revenue ~15.7-19.2x'"
buy_below_base_case_8pct,,,,,595.4,,,"implied fair market cap for BASE CASE to clear 8% hurdle = $595.4M -> implied fair PRICE = $2.28/share. Current price $7.68 is +237% ABOVE this level -- i.e. NO margin of safety on the base case; price would need to fall ~70% (to ~$2.28) for the base-case growth/exit-multiple assumptions to clear an 8% hurdle from here."
current_price,7.68,,,,,,,"as_of 2026-07-04 (last close 2026-07-02); base case -15.3%, bull (5.0x) -2.0%, only aggressive-bull (30% growth + 7.5x exit) clears 8% at +10.5%"
