section,metric,value,unit,formula_or_source,interpretation,source,status
"price_anchor","GOOGL_price_2026_06_16_1909UTC","373.19","USD/share","web.finance snapshot; cross-check public quote pages","Current price anchor for implied expectations; not a trade instruction.","Finance quote snapshot 2026-06-16 19:09 UTC; Yahoo/Google Finance/Nasdaq quote pages","verified_market_snapshot"
"price_anchor","Q1_2026_shares_outstanding","12116","shares_M","Class A + B + C shares outstanding at 2026-03-31","Use total Alphabet economic share count, not just GOOGL float.","Alphabet Q1 2026 Exhibit 99.1","verified_A1"
"price_anchor","current_equity_market_cap","4521.6","USD_B","373.19 * 12.116B","Approximate market cap before announced June equity/preferred/ATM effects.","derived from price anchor and Q1 shares","derived"
"balance_sheet","cash_and_marketable_securities_Q1","126.840","USD_B","SEC balance sheet","Cash + marketable securities as of 2026-03-31.","Alphabet Q1 2026 Exhibit 99.1","verified_A1"
"balance_sheet","long_term_debt_Q1","77.501","USD_B","SEC balance sheet","Long-term debt rose materially in Q1; current portion excluded here, so net cash is approximate.","Alphabet Q1 2026 Exhibit 99.1 / 10-Q","verified_A1"
"balance_sheet","approx_net_cash_less_LT_debt_Q1","49.339","USD_B","126.840 - 77.501","Net cash adds only about $4/share; valuation is dominated by OE compounding, not cash.","derived","derived"
"financing","common_stock_offering_shares","50.919","shares_M","25.459689M Class A + 25.459689M Class C","Immediate common share dilution from public stock offering if completed as described.","Alphabet 424B5 2026-06","verified_A1"
"financing","berkshire_private_placement_shares","28.572","shares_M","14.212035M Class A + 14.359656M Class C","Private placement dilution; gross proceeds $10B.","Alphabet 424B5 2026-06","verified_A1"
"financing","mandatory_convertible_pref_gross_principal","16.75","USD_B","167.5M Series A depositary + 167.5M Series B depositary at $50/depositary","Preferred is common-equity-like over 3 years and has dividend cost before conversion.","Alphabet FWP / 424B5 2026-06","verified_A1"
"financing","preferred_annual_dividend_cost_estimate","1.047","USD_B","16.75B * 6.25% observed Series A rate; final series-by-series terms require check","Subtract from common owner earnings until conversion if both series price near this rate; keep OPEN until final preferred terms are fully mapped.","Alphabet 424B5 2026-06","derived_estimate_OPEN_terms"
"financing","preferred_conversion_shares_min_mid_max","37.7 / 42.4 / 47.2","shares_M","8.375M pref shares per series * conversion rate range * 2 series","Potential common dilution from mandatory convertible preferred before considering dividends.","Alphabet 424B5 2026-06","derived_from_verified"
"financing","ATM_program_capacity","40.0","USD_B","maximum program amount","ATM can add about 107M shares at the price anchor if fully issued; company says primary use is employee-equity tax obligation mechanics.","Alphabet FWP / 424B5 2026-06","verified_A1_plus_derived"
