claim_id,claim,value,unit,as_of,source_id,tier,note
C1,Last close price,45.14,USD,2026-07-02,YAHOO-BSX-PRICE,B1,Independently re-fetched via market_data_download.py; exact match to frozen as_of_price
C2,Last close price (cross-check),45.14,USD,2026-07-02,BSX-SA-STATS,B1,Confirms YAHOO-BSX-PRICE exactly
C3,52-week high,108.14,USD,2025-09-08,YAHOO-BSX-PRICE,B1,Derived from full 1yr daily series
C4,52-week low (Yahoo daily close basis),42.68,USD,2026-06-30,YAHOO-BSX-PRICE,B1,stockanalysis.com shows 42.25 intraday -minor basis difference flagged
C5,52-week low (stockanalysis basis),42.25,USD,2026-07,BSX-SA-STATS,B1,Likely intraday low vs Yahoo daily-close low -reconciliation note in freshness.json
C6,Shares outstanding,1490,millions,2026-07,BSX-SA-STATS,B1,~1.49B
C7,Market cap,67.09,USD billions,2026-07-02,BSX-SA-STATS,B1,1.49B x 45.14 = 67.26B derived -consistent within rounding
C8,Trailing P/E,18.89,ratio,2026-07,BSX-SA-STATS,B1,
C9,Forward P/E,13.15,ratio,2026-07,BSX-SA-STATS,B1,
C10,Beta,0.58,ratio,2026-07,BSX-SA-STATS,B1,
C11,Analyst consensus rating,Buy,rating,2026-07,BSX-SA-STATS,B1,30 analysts
C12,Average analyst price target,75.00,USD,2026-07,BSX-SA-STATS,B1,+66% vs current price -pre-dates full June downgrade wave per facts.md S1
C13,Next earnings date,2026-07-29,date,2026-07,BSX-SA-STATS,B1,Q2 2026 results
C14,FY2025 net sales,20074,USD millions,2025-12-31,BSX-Q4FY25-PR,A1,+19.9% reported/+19.2% operational/+15.8% organic
C15,FY2025 net sales (cross-check),20.074,USD billions,2025-12-31,BSX-SA-FINANCIALS,B1,Confirms BSX-Q4FY25-PR
C16,FY2025 GAAP diluted EPS,1.94,USD,2025-12-31,BSX-Q4FY25-PR,A1,
C17,FY2025 adjusted EPS,3.06,USD,2025-12-31,BSX-Q4FY25-PR,A1,
C18,FY2025 gross margin,69.01,pct,2025-12-31,BSX-SA-FINANCIALS,B1,
C19,FY2025 operating margin,18.00,pct,2025-12-31,BSX-SA-FINANCIALS,B1,
C20,FY2025 operating income,3613,USD millions,2025-12-31,BSX-SA-FINANCIALS,B1,
C21,FY2025 net income,2892,USD millions,2025-12-31,BSX-SA-FINANCIALS,B1,
C22,Q4 2025 net sales,5286,USD millions,2025-12-31,BSX-Q4FY25-PR,A1,+15.9% reported/+12.7% organic vs guide 11-13%
C23,Q4 2025 GAAP EPS,0.45,USD,2025-12-31,BSX-Q4FY25-PR,A1,Missed guide 0.48-0.52
C24,Q4 2025 adjusted EPS,0.80,USD,2025-12-31,BSX-Q4FY25-PR,A1,Beat guide 0.77-0.79
C25,FY2025 MedSurg segment net sales,6824,USD millions,2025-12-31,BSX-Q4FY25-PR,A1,+6.7% organic
C26,FY2025 Cardiovascular segment net sales,13250,USD millions,2025-12-31,BSX-Q4FY25-PR,A1,+20.8% organic
C27,Initial FY2026 guidance -net sales growth (reported),10.5-11.5,pct,2026-02-04,BSX-Q4FY25-PR,A1,Cut twice subsequently -see C33/C40
C28,Initial FY2026 guidance -adjusted EPS,3.43-3.49,USD,2026-02-04,BSX-Q4FY25-PR,A1,Cut twice subsequently
C29,Feb 4 2026 stock price move,-17.6,pct,2026-02-04,MOTLEYFOOL-FEB4,B1,Same-day reaction to Q4/FY25 earnings + light initial guide
C30,Q1 2026 net sales,5203,USD millions,2026-03-31,BSX-Q1-2026-PR,A1,+11.6% reported/+9.4% organic
C31,Q1 2026 GAAP net income,1341,USD millions,2026-03-31,BSX-Q1-2026-PR,A1,vs 674M PY -large jump unexplained this run see O5
C32,Q1 2026 GAAP diluted EPS,0.90,USD,2026-03-31,BSX-Q1-2026-PR,A1,
C33,Q1 2026 adjusted EPS,0.80,USD,2026-03-31,BSX-Q1-2026-PR,A1,vs 0.75 PY
C34,Q1 2026 gross margin,69.5,pct,2026-03-31,BSX-Q1-2026-PR,A1,
C35,Q1 2026 MedSurg segment net sales,1701,USD millions,2026-03-31,BSX-Q1-2026-PR,A1,+5.7% organic
C36,Q1 2026 Endoscopy net sales,736,USD millions,2026-03-31,BSX-Q1-2026-PR,A1,+6.8% organic
C37,Q1 2026 Urology net sales,646,USD millions,2026-03-31,BSX-Q1-2026-PR,A1,+0.5% organic -guidance-cut driver
C38,Q1 2026 Neuromodulation net sales,318,USD millions,2026-03-31,BSX-Q1-2026-PR,A1,+15.4% organic
C39,Q1 2026 Cardiovascular segment net sales,3503,USD millions,2026-03-31,BSX-Q1-2026-PR,A1,+11.2% organic
C40,Q1 2026 US net sales,3284,USD millions,2026-03-31,BSX-Q1-2026-PR,A1,+10.9%
C41,Q1 2026 EMEA net sales,932,USD millions,2026-03-31,BSX-Q1-2026-PR,A1,+1.2% operational
C42,Q1 2026 APAC net sales,803,USD millions,2026-03-31,BSX-Q1-2026-PR,A1,+12.0% operational -China not broken out see O3
C43,Q1 2026 LACA net sales,185,USD millions,2026-03-31,BSX-Q1-2026-PR,A1,+12.0% operational
C44,Revised FY2026 guidance (Apr 22) -net sales growth reported,7.0-8.5,pct,2026-04-22,BSX-Q1-2026-PR,A1,First cut from initial 10.5-11.5
