claim_id,block,claim,source_id,verification_status,confidence,notes
C001,Financials,"FY2025 net sales $10,229.9M, organic +26% YoY",S3,verified,high,"Headline FY25 top line; organic strips FX + M&A. Latest full year; unchanged from seed (no new annual print)"
C002,Financials,"FY2025 adjusted operating margin 20.4%",S3,verified,high,"Non-GAAP; up from high-teens prior year — real expansion"
C003,Financials,"FY2025 adjusted free cash flow $1,887.4M",S3,verified,high,"Strong FCF conversion; ~18.4% of sales"
C004,Financials,"FY2025 backlog $15.0B, +109% YoY",S3,verified,high,"Headline visibility metric; converts ~12-18 months, cancellable. Last hard backlog print"
C005,Financials,"Q4 2025 book-to-bill ~2.9x; Q4 organic orders +252%; TTM organic orders +81%",S3,verified,high,"Blow-out Q4 demand print — the comp that makes the Q1'26 silence conspicuous. Last hard orders/B2B print"
C006,Financials,"Q3 2025 organic orders +60%",S3,verified,medium,"Prior-quarter datapoint in the orders series; accelerated into +252% Q4"
C007,Financials,"Q1 2026 net sales $2,650M, +30% total / +23% organic",S1,verified,high,"LATEST QUARTER (reported 2026-04-22). Total includes FX/M&A; organic is the cleaner read"
C008,Financials,"Q1 2026 regional organic: Americas +44%, EMEA -29%, APAC +12%",S1,verified,high,"EMEA -29% = demand is not uniformly immune; concentration in Americas. ThermoKey (C034) directly targets this weak EMEA region"
C009,Financials,"Q1 2026 adjusted operating margin 20.8%, +430bps YoY; beat its own guide by ~180bps",S1,verified,high,"Margin expansion real and ahead of plan"
C010,Financials,"Q1 2026 adjusted EPS $1.17, +83% YoY",S1,verified,high,""
C011,Financials,"Q1 2026 adjusted FCF $653M, +147% YoY",S1,verified,high,"FCF growth outpacing earnings; working-capital + margin tailwind"
C012,Financials,"Q1 2026 orders / book-to-bill / backlog NOT disclosed; STILL withheld as of 2026-06-22 (Q2'26 earnings 2026-07-29 not yet public)",S1,UNVERIFIED,high,"BINDING GAP — PERSISTS. The single cleanest demand gauge was withheld in Q1'26 after a +252%/2.9x Q4, and the 2026-06 8-Ks (ThermoKey, dividend, AGM) added NO orders re-disclosure. High confidence on the FACT of non-disclosure; the underlying orders number remains UNVERIFIABLE until Q2'26 (2026-07-29). Surfaced in inversion_map/monitor/research_status"
C013,Financials,"Management characterized FY26 orders as 'up YoY' and backlog as 'elongated' (qualitative only)",S2,verified,medium,"Directional comfort but no number; 'elongated' = longer-dated conversion, not necessarily weaker"
C014,Financials,"Raised FY26 guidance: net sales $13.5-14.0B, organic +29-31%, adj op margin 22.8-23.8%, adj EPS $6.30-6.40, adj FCF $2.1-2.3B",S1,verified,high,"Guide raised at Q1'26; UNCHANGED as of 2026-06-22 (no revision in 2026-06 filings). FY26E EPS midpoint ~$6.35 anchors fwd P/E"
C015,Strategy,"2030 targets (May-2026 IC): organic revenue CAGR 20-22% (2025->2030E), adj op margin 27%",S4,verified,high,"Ceiling raised vs 2024 investor day (12-14% CAGR / 25% margin)"
C016,BusinessModel,"VRT sells 3 lines: power (UPS, switchgear, busway, 800V DC), thermal (CDUs, cold-plate, fluid networks, dry coolers), services (lifecycle, higher-margin recurring)",S1,verified,high,"Broad-line 'grey-space' critical-infrastructure integrator"
C017,BusinessModel,"800V DC programs launch 2H26, ship 2027",S2,verified,high,"Extends the power franchise into next-gen rack power distribution"
C018,Moat,"Co-developed NVIDIA GB200 NVL72 7MW power+cooling reference architecture",S5,verified,high,"Design-authority moat: closest thing to a standard; positions VRT as default integrated vendor"
C019,Moat,"Only broad-line single-vendor integrator shipping a co-engineered power AND thermal stack for an NVIDIA rack",S5,verified,medium,"Differentiator vs peers who split the chain; 'single-vendor stack' is the integration moat"
C020,Moat,"Liquid-cooling share leader ~11.3% (2025), ~tied with Schneider",S7,verified,medium,"Leadership real but it is a duopoly, not a monopoly — Schneider co-leads"
C021,Bottleneck,"Rising rack density forces liquid cooling: GB200 NVL72 ~132kW, GB300 ~142kW; above ~50kW air cooling fails",S5,verified,medium,"Mechanical driver of rising $-content per rack; density figures are design-spec, vendor/press sourced"
C022,Bottleneck,"Component layer (cold plates, CDUs, DTC) is multi-sourced and commoditizing; DTC market ~+26% CAGR with many suppliers",S7,verified,medium,"VRT defends by owning the system/integration layer, not the component; Boyd/CoolIT/Modine sit inside its BoM"
C023,Inversion,"~75% of demand is downstream of four hyperscalers' discretionary capex; no PTC floor, no multi-year take-or-pay",S2,inferred,medium,"Most capex-geared name in the basket; backlog is cancellable. Inferred from backlog character + customer mix commentary, not a single disclosed line"
C024,Inversion,"Backlog $15.0B converts ~12-18 months and is cancellable (no contracted floor)",S3,inferred,medium,"Conversion window is management framing; cancellability is structural for equipment orders vs PPAs"
C025,Macro,"Big-4 2026 capex ~$700-725B, +62-77% YoY; ~75% AI-related; slope steepening",S9,verified,medium,"Shared-switch variable. AMZN ~$200B, GOOGL $175-185B, META $115-135B, MSFT $110-120B. SAME single factor as NBIS/CEG (see synthesis tie-flag)"
C026,Operator,"CEO Giordano Albertazzi since 2023; serial guide-beat-raise; May-2026 IC raised ceiling (12-14%->20-22% CAGR, 25%->27% margin)",S4,verified,high,"High execution credibility; margins ahead of 2024 investor-day path"
C027,Operator,"Stopped disclosing headline quarterly orders / book-to-bill in Q1'26 after a blow-out Q4; not re-disclosed through 2026-06-22",S2,verified,high,"YELLOW FLAG on operator transparency — removes the cleanest demand gauge exactly when it matters most. Confirmed still dark through the 2026-06 filings"
C028,Operator,"Balance sheet net cash ~$0.76B; bolt-on thermal M&A; modest buybacks; dividend $0.0625/qtr ($0.25/yr, ~0.07% yield)",S6,verified,medium,"Optionality for M&A + buybacks; capital allocation growth-tilted, negligible dividend. ThermoKey close (C034) is the bolt-on in action"
C029,Valuation,"At $345.05: market cap ~$132.5B, EV ~$132B (net cash); fwd P/E ~50.5x stockanalysis / ~54x on FY26E EPS $6.35 as-reported; trailing P/E ~86x; P/S ~12.5x; PEG ~1.6",S6,needs_audit,medium,"REFRESHED 2026-06-22 (was $333.05/~48-52x). Aggregator-sourced multiples; priced for perfection — bull case already in price, now MORE so after +3.6% to $345"
C030,Valuation,"-9.2% off 52-wk high ($379.94); +213% off 52-wk low ($110.06)",S6,verified,medium,"REFRESHED 2026-06-22. No floor: the $110 low was ~1 year ago — bear case has real downside; price now closer to the high than the seed's -12%"
C031,Valuation,"Analyst mean target ~$378 (Strong Buy, 27 analysts, high $500, low $260) ~= +9.6% upside",S6,needs_audit,medium,"REFRESHED 2026-06-22 (was +13%). Even thinner upside to the Street mean after the rally — much of the bull case is consensus, not edge"
C032,Inversion,"Margin targets tracking ahead: FY26 22.8-23.8% vs 27% 2030; Q1'26 beat its own guide ~180bps",S1,verified,high,"Kill-criterion (c) is GREEN — margin path is not the risk"
C033,Bottleneck,"VRT owns the integration bottleneck (design authority + speed-to-deploy + breadth) but supplies into the component bottleneck",S5,inferred,medium,"Synthesis claim across S5/S7 — moat sits at the system layer, exposure at the cycle layer; no shock-absorber"
C034,Operator,"ThermoKey S.p.A. acquisition COMPLETED 2026-06-12 (bolt-on thermal: dry coolers / microchannel heat-exchange, EMEA-focused, terms undisclosed)",S10,verified,high,"NEW (post-seed). Bolt-on thermal M&A in action — deepens heat-rejection / full thermal chain, manufacturing in Italy (Rivarotta), targets the structurally weak EMEA region (C008). On-strategy, not transformational. CEO Visentini stays"
C035,Operator,"Quarterly cash dividend $0.0625/share declared 2026-06-03, payable 2026-06-25 (record 2026-06-15)",S11,verified,high,"NEW (post-seed). $0.25/yr annualized, ~0.07% yield at $345 — confirms negligible/non-payer dividend policy; capital still reinvested into growth + bolt-on M&A"
