section,period,branch,line_item,value,unit,source_url,status,formula,interpretation
ten_year_summary,FY2016-FY2025,observed,revenue_cagr,18.08,pct,https://data.sec.gov/api/xbrl/companyfacts/CIK0001652044.json,derived_from_A1,(FY2025/FY2016)^(1/9)-1,Revenue compounded strongly over the decade.
ten_year_summary,FY2016-FY2025,observed,operating_income_cagr,20.71,pct,https://data.sec.gov/api/xbrl/companyfacts/CIK0001652044.json,derived_from_A1,(FY2025/FY2016)^(1/9)-1,Operating income compounded faster than revenue through scale and mix.
ten_year_summary,FY2016-FY2025,observed,ocf_cagr,18.39,pct,https://data.sec.gov/api/xbrl/companyfacts/CIK0001652044.json,derived_from_A1,(FY2025/FY2016)^(1/9)-1,Operating cash flow grew faster than revenue.
ten_year_summary,FY2016-FY2025,observed,capex_cagr,27.58,pct,https://data.sec.gov/api/xbrl/companyfacts/CIK0001652044.json,derived_from_A1,(FY2025/FY2016)^(1/9)-1,Capex compounded much faster than OCF/FCF.
ten_year_summary,FY2016-FY2025,observed,fcf_cagr,12.28,pct,https://data.sec.gov/api/xbrl/companyfacts/CIK0001652044.json,derived_from_A1,(FY2025/FY2016)^(1/9)-1,"FCF grew, but the 2024-2026 capex surge is compressing conversion."
ten_year_summary,FY2016-FY2025,observed,fcf_per_share_cagr,13.97,pct,https://data.sec.gov/api/xbrl/companyfacts/CIK0001652044.json,derived_from_A1,split-adjusted FCF/share CAGR,Buybacks helped per-share FCF despite rising SBC.
ten_year_summary,FY2016-FY2025,observed,share_count_change,-12.57,pct,https://data.sec.gov/api/xbrl/companyfacts/CIK0001652044.json,derived_from_A1,ending shares / beginning shares - 1,"Share count fell over the decade, but Q1 2026 rose after buybacks paused."
ten_year_summary,FY2016-FY2025,observed,cumulative_ocf,815647,USD_M,https://data.sec.gov/api/xbrl/companyfacts/CIK0001652044.json,derived_from_A1,sum FY2016-FY2025 OCF,Long-run cash generation remains very high.
ten_year_summary,FY2016-FY2025,observed,cumulative_capex,326722,USD_M,https://data.sec.gov/api/xbrl/companyfacts/CIK0001652044.json,derived_from_A1,sum FY2016-FY2025 PPE purchases,Capital intensity has become the central accounting-to-economics issue.
ten_year_summary,FY2016-FY2025,observed,cumulative_fcf,488925,USD_M,https://data.sec.gov/api/xbrl/companyfacts/CIK0001652044.json,derived_from_A1,sum FY2016-FY2025 OCF-capex,FCF before SBC economics and dividends/buybacks.
ten_year_summary,FY2016-FY2025,observed,cumulative_sbc_note_total,157100,USD_M,https://data.sec.gov/api/xbrl/companyfacts/CIK0001652044.json,derived_from_A1,sum annual AllocatedShareBasedCompensationExpense,"SBC is a persistent owner cost, not a harmless add-back."
ten_year_summary,FY2016-FY2025,observed,cumulative_buybacks_cashflow,346164,USD_M,https://data.sec.gov/api/xbrl/companyfacts/CIK0001652044.json,derived_from_A1,sum annual PaymentsForRepurchaseOfCommonStock,Buybacks exceeded cumulative SBC but slowed in 2025 and stopped in Q1 2026.
capex_bridge,FY2023,observed,operating_cash_flow,101746,USD_M,https://www.sec.gov/Archives/edgar/data/1652044/000165204424000022/goog-20231231.htm,A1_or_derived_TTM,reported OCF; TTM derived from FY minus Q1 plus Q1,Cash generation available before capex.
capex_bridge,FY2023,observed,capex_purchases_ppe,32251,USD_M,https://www.sec.gov/Archives/edgar/data/1652044/000165204424000022/goog-20231231.htm,A1_or_derived_TTM,reported purchases of property and equipment; TTM derived,PPE purchases are the cash capex denominator.
capex_bridge,FY2023,observed,free_cash_flow,69495,USD_M,https://www.sec.gov/Archives/edgar/data/1652044/000165204424000022/goog-20231231.htm,derived,OCF - capex,FCF is not a 10-K line; it is the cash left after PPE purchases.
capex_bridge,FY2023,observed,capex_to_ocf,31.70,pct,https://www.sec.gov/Archives/edgar/data/1652044/000165204424000022/goog-20231231.htm,derived,capex / OCF,Higher values mean more operating cash is consumed by infrastructure.
capex_bridge,FY2023,observed,fcf_conversion_of_ocf,68.30,pct,https://www.sec.gov/Archives/edgar/data/1652044/000165204424000022/goog-20231231.htm,derived,FCF / OCF,This is the visible conversion pressure from capex.
capex_bridge,FY2023,observed,depreciation_ppe,11946,USD_M,https://www.sec.gov/Archives/edgar/data/1652044/000165204424000022/goog-20231231.htm,A1_or_hand_parsed_A1,cash-flow add-back: depreciation of property and equipment,Observable floor/proxy for replacement burden; not the same as maintenance capex.
capex_bridge,FY2023,observed,capex_minus_depreciation_ppe,20305,USD_M,https://www.sec.gov/Archives/edgar/data/1652044/000165204424000022/goog-20231231.htm,derived,capex - depreciation_ppe,"Rough growth/expansion pipeline proxy, but not proof of growth capex."
capex_bridge,FY2023,observed,assets_not_yet_in_service_or_cip,35136,USD_M,https://www.sec.gov/Archives/edgar/data/1652044/000165204424000022/goog-20231231.htm,A1_if_populated,10-K/10-Q PPE note; blank if not pulled comparably,Large unproductive/in-progress asset base creates future depreciation and utilization risk.
capex_bridge,FY2024,observed,operating_cash_flow,125299,USD_M,https://www.sec.gov/Archives/edgar/data/1652044/000165204425000014/goog-20241231.htm,A1_or_derived_TTM,reported OCF; TTM derived from FY minus Q1 plus Q1,Cash generation available before capex.
capex_bridge,FY2024,observed,capex_purchases_ppe,52535,USD_M,https://www.sec.gov/Archives/edgar/data/1652044/000165204425000014/goog-20241231.htm,A1_or_derived_TTM,reported purchases of property and equipment; TTM derived,PPE purchases are the cash capex denominator.
capex_bridge,FY2024,observed,free_cash_flow,72764,USD_M,https://www.sec.gov/Archives/edgar/data/1652044/000165204425000014/goog-20241231.htm,derived,OCF - capex,FCF is not a 10-K line; it is the cash left after PPE purchases.
capex_bridge,FY2024,observed,capex_to_ocf,41.93,pct,https://www.sec.gov/Archives/edgar/data/1652044/000165204425000014/goog-20241231.htm,derived,capex / OCF,Higher values mean more operating cash is consumed by infrastructure.
capex_bridge,FY2024,observed,fcf_conversion_of_ocf,58.07,pct,https://www.sec.gov/Archives/edgar/data/1652044/000165204425000014/goog-20241231.htm,derived,FCF / OCF,This is the visible conversion pressure from capex.
