claim_id,layer,as_of,claim_type,claim,value,unit,source_id,status,confidence,audit_note
GOOG.V2.Q1.001,Direction,Q1-2026,reported_number,"Total revenue grew 22% YoY to 109896",109896,USD_M,GOOG.A1.2026Q1.991,candidate_verified,high,"Use as evidence that the company is still growing during the AI interface shift."
GOOG.V2.Q1.002,Business,Q1-2026,reported_number,"Google Search and other revenue grew 19% YoY to 60399",60399,USD_M,GOOG.A1.2026Q1.991,candidate_verified,high,"Validates no near-term Search revenue collapse; does not prove AI Search RPM."
GOOG.V2.Q1.003,Business,Q1-2026,reported_number,"YouTube ads revenue grew 11% YoY to 9883",9883,USD_M,GOOG.A1.2026Q1.991,candidate_verified,high,"Useful secondary owned-surface ad growth evidence."
GOOG.V2.Q1.004,Business,Q1-2026,reported_number,"Google Network revenue declined YoY to 6971",6971,USD_M,GOOG.A1.2026Q1.991,candidate_verified,high,"Evidence that open-web ad surfaces are weaker than owned surfaces."
GOOG.V2.Q1.005,Accounting,Q1-2026,reported_number,"Google Cloud revenue grew 63% YoY to 20028",20028,USD_M,GOOG.A1.2026Q1.991,candidate_verified,high,"Strong growth evidence; must pair with margin and capex."
GOOG.V2.Q1.006,Accounting,Q1-2026,reported_number,"Google Cloud operating income was 6598",6598,USD_M,GOOG.A1.2026Q1.991,candidate_verified,high,"Supports Cloud quality, but single-quarter margin sustainability remains open."
GOOG.V2.Q1.007,Accounting,Q1-2026,derived_ratio,"Google Cloud operating margin was about 32.9%",32.9,pct,GOOG.A1.2026Q1.991,candidate_verified,high,"Derived from Cloud operating income divided by Cloud revenue."
GOOG.V2.Q1.008,Accounting,Q1-2026,reported_number,"Operating cash flow was 45790",45790,USD_M,GOOG.A1.2026Q1.991,candidate_verified,high,"OCF still strong in absolute terms."
GOOG.V2.Q1.009,Accounting,Q1-2026,reported_number,"Purchases of property and equipment were 35674",35674,USD_M,GOOG.A1.2026Q1.991,candidate_verified,high,"Central capex pressure evidence."
GOOG.V2.Q1.010,Accounting,Q1-2026,derived_number,"Free cash flow was 10116",10116,USD_M,GOOG.A1.2026Q1.991,candidate_verified,high,"OCF minus capex; confirms FCF compression despite strong revenue."
GOOG.V2.Q1.011,Accounting,Q1-2026,reported_number,"Repurchases of Class A and C shares were zero in Q1 2026",0,USD_M,GOOG.A1.2026Q1.10Q,candidate_verified,high,"Buyback pause makes SBC/dilution more important."
GOOG.V2.Q1.012,Accounting,Q1-2026,reported_number,"Debt proceeds net of costs were 31379",31379,USD_M,GOOG.A1.2026Q1.991,candidate_verified,high,"Shows financing regime change alongside capex."
GOOG.V2.Q1.013,Accounting,Q1-2026,derived_ratio,"Capex consumed about 77.9% of operating cash flow",77.9,pct,GOOG.LOCAL.P0.SEC,candidate_verified,high,"Derived from Q1 OCF and capex."
GOOG.V2.Q1.014,Accounting,Q1-2026,reported_number,"Assets not yet in service rose to 108597",108597,USD_M,GOOG.A1.2026Q1.10Q,candidate_verified,high,"Important for future depreciation and utilization timing."
GOOG.V2.Q1.015,Moat,Q1-2026,operating_metric,"Paid clicks grew 13% and CPC grew 5% for Search and other",,pct,GOOG.A1.2026Q1.10Q,candidate_verified,high,"Supports Search auction health; not a direct AI cohort metric."
