company,revenue_2024_亿RMB,employees_2024,revenue_per_employee_万RMB,GMV_or_revenue_note,vs_拼多多医药_产出比
拼多多医药,~600,10-15,~60000,GMV 非自营营收 [L3.C.internet.19-22],1.0x baseline
京东健康,582,3118,1867,自营+平台 [L3.C.internet.01+08],32.1x
阿里健康,305.98,1435,2132,自营+平台 FY2025 [L3.C.internet.09+18],28.1x
平安健康,48.08,1446,332,在线问诊+药品 [L3.C.internet.23+30],180x
国药控股,5845.08,~120000,4871,流通+器械+零售 [L3.A.flow.01+03],12.3x
上海医药,2752.51,49402,5572,流通+工业 [L3.A.flow.14+16],10.8x
华润医药,2576.73,~72700,3545,制药+分销+零售 [L3.A.flow.25+26],16.9x
九州通,1518.10,30169,5032,流通+物流 [L3.A.flow.37+39],11.9x
大参林,264.96,~53000,500,零售 [L3.B.retail.01+06],120x
益丰药房,240.62,40018,601,零售 [L3.B.retail.09+12],100x
takeaway_1,,,,, 拼多多医药单人产出 6 万万元 = 京东健康 32 倍 / 阿里健康 28 倍 = 互联网医药的极限效率示范
takeaway_2,,,,, 4 流通巨头单人产出 350-560 万元 = 远高于零售连锁 50-60 万元 (因为流通是高周转 B2B 模式)
takeaway_3,,,,, 零售连锁单人产出最低 = 这是 L3 内人力密度最高的 sub-layer
takeaway_4,,,,, 拼多多医药 vs 京东健康 32x 单人产出比 = 揭示互联网医药未来洗牌方向 (平台模式 > 自营模式)
takeaway_5,,,,, 未来 3-5 年京东健康若全面转平台 (减少自营 + 引入 5 万第三方商家) = 员工数可降 30-50%
