line_item,FY2023,FY2024,FY2025,TTM_Q1_2026,unit,source_id,notes
revenue,307394,350018,402836,422498,USD_M,GOOG.A1.2025K.001 / GOOG.A1.2026Q1.001,"TTM = FY2025 - Q1'25 90234 + Q1'26 109896 (derived)"
operating_income,84293,112390,129039,138129,USD_M,GOOG.A1.2025K.005 / GOOG.A1.2026Q1.018,"TTM = 129039 - 30606 + 39696 (derived); cleanest growth read"
net_income,73795,100118,132170,160208,USD_M,GOOG.A1.2025K.007 / GOOG.A1.2026Q1.020,"TTM = 132170 - 34540 + 62578 (derived); TTM & Q1'26 inflated by 36.9B unrealized equity gain - NOT economic"
operating_cash_flow,101746,125299,164713,174353,USD_M,GOOG.A1.2025K.015 / GOOG.A1.2026Q1.023,"TTM OCF stated 174353 in Q1'26 release"
capex_purchases_PPE,32251,52535,91447,109924,USD_M,GOOG.A1.2025K.016 / GOOG.A1.2026Q1.024,"FY2025 +74% YoY; TTM 109924 stated; capex outrunning OCF growth"
free_cash_flow_derived,69495,72764,73266,64429,USD_M,GOOG.A1.2025K.017 / GOOG.A1.2026Q1.025,"FCF NOT a 10-K line; FY = OCF-capex derived; TTM 64429 stated non-GAAP; FCF COMPRESSING despite rev +15-22%"
sbc_note13,,,27100,,USD_M,GOOG.A1.2025K.023,"FY2025 total SBC Note 13; FY2023/24 not pulled (gap); cash-flow add-back 24953"
sbc_cashflow_addback,,,24953,,USD_M,GOOG.A1.2025K.023,"add-back basis; diff 2147 = cash-settled/Waymo comp"
buyback,61504,62222,45709,,USD_M,GOOG.A1.2025K.018 / GOOG.A1.2026Q1.027,"DECLINING; Q1'26 buyback = 0 (paused); TTM buyback not aggregated here"
dividends,0,7363,10049,,USD_M,GOOG.A1.2025K.019 / GOOG.A1.2026Q1.030,"first dividend FY2024; Q1'26 0.22/sh +5%"
shares_outstanding,,12211,12088,12116,shares_M,GOOG.A1.2025K.022 / GOOG.A1.2026Q1,"A+B+C; FY24 12211 -> FY25 12088 (buyback); 3/31/26 12116 (slight RISE as buyback paused)"
long_term_debt,,10883,46547,,USD_M,GOOG.A1.2025K.021,"FY25 net debt issuance ~64.6B; Q1'26 +31.4B more proceeds; balance sheet only FY24/25 (gap)"
cash_plus_marketable_securities,,95657,126843,,USD_M,GOOG.A1.2025K.020,"excl non-marketable 68687; FY23 not pulled"
