metric,Q1_2025_or_2025_12_31,Q1_2026_or_2026_03_31,change,unit,source_id,interpretation,status
operating_cash_flow,36150,45790,26.67,pct_yoy,GOOG.A1.2026Q1.991,"OCF grew strongly.",verified_A1
purchases_of_property_and_equipment,17197,35674,107.45,pct_yoy,GOOG.A1.2026Q1.991,"Capex grew about 4x faster than OCF.",verified_A1
free_cash_flow_derived,18953,10116,-46.63,pct_yoy,derived,"FCF fell despite OCF growth because capex surged.",derived
capex_to_ocf,47.57,77.91,30.34,pp,derived,"Q1 2026 capex consumed most operating cash flow.",derived
fcf_margin_to_revenue,21.00,9.20,-11.80,pp,derived,"FCF conversion deteriorated sharply.",derived
depreciation_of_property_and_equipment,4487,6482,44.47,pct_yoy,GOOG.A1.2026Q1.991,"Depreciation already rising; more may follow assets entering service.",verified_A1
stock_based_compensation_expense,5516,6751,22.39,pct_yoy,GOOG.A1.2026Q1.991,"SBC continues to be a real owner cost.",verified_A1
repurchases_of_stock,15068,0,-100.00,pct_yoy,GOOG.A1.2026Q1.991,"Buybacks paused while capex and financing rose.",verified_A1
debt_issuance_net_costs,4532,31379,592.39,pct_yoy,GOOG.A1.2026Q1.991,"Debt funding increased materially.",verified_A1
property_and_equipment_net,246597,281020,13.96,pct_qoq,GOOG.A1.2026Q1.10Q,"Net PPE rose quickly in one quarter.",verified_A1
technical_infrastructure_gross,203679,217886,6.97,pct_qoq,GOOG.A1.2026Q1.10Q,"Gross technical infrastructure asset base expanded.",verified_A1
property_and_equipment_in_service,266490,272603,2.29,pct_qoq,GOOG.A1.2026Q1.10Q,"In-service PPE grew modestly versus assets not yet in service.",verified_A1
assets_not_yet_in_service,78592,108597,38.18,pct_qoq,GOOG.A1.2026Q1.10Q,"Huge pipeline of assets not yet producing revenue; important future depreciation / utilization issue.",verified_A1
accrued_purchases_of_ppe,8877,12873,45.01,pct_qoq,GOOG.A1.2026Q1.10Q,"Capex obligations accrued but not yet cash-settled also rose.",verified_A1
long_term_debt,46547,77501,66.50,pct_qoq,GOOG.A1.2026Q1.10Q,"Debt balance increased materially in one quarter.",verified_A1
forward_2026_capex_guide,,185000,,USD_M_midpoint,GOOGL.424B5.2026.06,"Management expects 2026 capex of $180B-$190B midpoint shown.",verified_A1
forward_2027_capex_direction,,significantly_higher,,text,GOOGL.424B5.2026.06,"2027 capex expected to significantly increase versus 2026.",verified_A1
