claim_id,source_id,layer,entity,date_or_period,claim_type,claim,status,confidence,notes
C001,SRC-001,Financials,NBIS,FY2025,reported_number,"FY2025 group revenue $529.8M, +479% YoY",verified,high,"US GAAP, continuing ops"
C002,SRC-001,Financials,NBIS,FY2024,reported_number,"FY2024 revenue $117.5M as originally reported; restated to $91.5M continuing-ops after Toloka reclassified to discontinued ops",verified,high,"Both bases real; reconcile basis when comparing"
C003,SRC-002,Financials,NBIS,Q1-2026,reported_number,"Q1 2026 revenue $399.0M, +684% YoY",verified,high,""
C004,SRC-002,Financials,NBIS,Q1-2026,reported_number,"ARR $1.9B exit Mar-2026 (vs $1.25B YE2025, $90M YE2024)",verified,medium,"ARR = last month x12, UNAUDITED, not in 20-F; flattering during ramp"
C005,SRC-001,Financials,NBIS,FY2025,reported_number,"FY2025 capex $4,066.0M (~$4.07B); FY2024 $807.5M",verified,high,"Capex ~7.7x revenue FY2025"
C006,SRC-002,Financials,NBIS,Q1-2026,reported_number,"Q1 2026 capex $2,472.9M (~$2.5B in one quarter)",verified,high,""
C007,SRC-001,Financials,NBIS,FY2025,reported_number,"FY2025 group adjusted EBITDA -$64.9M; first group-positive quarter Q4 2025 (+$15.0M); Q1 2026 +$129.5M",verified,high,"Core Nebius AI segment positive since Q2 2025"
C008,SRC-001,Financials,NBIS,FY2025,accounting_policy,"FY2025 pre-tax net income +$13.8M driven entirely by +$598.9M non-cash ClickHouse revaluation gain (ASC 321)",verified,high,"Strip out: still operating loss. Net income not a clean read"
C009,SRC-002,Financials,NBIS,Q1-2026,reported_number,"Cash & equivalents $9,298.2M; convertible debt carrying $8,450.4M (principal $10,041.8M)",verified,high,"Carrying net cash ~+$0.85B; principal-basis net debt ~-$0.76B. All debt is converts"
C010,SRC-001,Financials,NBIS,FY2025,reported_number,"Implied FCF (OCF - capex) FY2025 ~ -$3.66B; OCF inflated by ~$982.5M customer prepayments",verified,high,"FCF deeply negative; gap plugged by financing + customer cash"
C011,SRC-001,Financials,NBIS,FY2026,accounting_policy,"GPU/server useful life extended 4->5 years effective Jan 1 2026; cuts FY2026 depreciation by ~$167.6M",verified,high,"RED FLAG: earnings-flattery timing into accelerating GB300/Rubin cadence"
C012,SRC-001,Financials,NBIS,FY2024-2025,accounting_policy,"Adverse ICFR opinion two consecutive years; open material weaknesses in (a) fixed assets/PP&E and (b) TripleTen revenue recognition",verified,high,"RED FLAG: PP&E weakness sits on top of the dep-life change. Auditor Reanda -> Deloitte FY2026"
C013,SRC-004,Contracts,NBIS,2025-2031,contract_term,"Microsoft contract up to $17,392.9M through Oct 2031 (5-yr), expandable to ~$19.4B; ~$6,958.1M upfront",verified,high,""
C014,SRC-001,Contracts,NBIS,FY2025,contract_term,"Capacity revenue is take-or-pay: customer pays 'irrespective of actual utilization', recognized ratably; first Meta agreement (~$2.88B) explicitly take-or-pay; MSFT ~$6.96B upfront",verified,high,"RESOLVED with C015: take-or-pay protects NBIS vs customer under-use"
C015,SRC-004,Contracts,NBIS,2025-09,contract_term,"NBIS has delivery obligations: if it misses delivery/SLAs, Microsoft has service-credit/termination rights + liquidated damages for late delivery; 60-day cure for material breach",verified,high,"RESOLVED with C014. Net: revenue sticky AS LONG AS NBIS delivers -> residual risk is execution/delivery slip (inversion path A), not customer optional walk-away"
C016,SRC-007,Contracts,NBIS,2026-03,contract_term,"Meta ~$27B 5-yr: $12B firm dedicated Vera Rubin capacity from early 2027 + $15B optional",verified,medium,"Supersedes earlier ~$3B Nov 2025 deal"
C017,SRC-002,Contracts,NBIS,Q1-2026,reported_number,"Total contracted backlog >$46B; deferred revenue rose to ~$1.58B YE2025 from ~$0",verified,medium,"Backlog dominated by MSFT+Meta; concentration % not disclosed"
C018,SRC-002,Power,NBIS,Q1-2026,reported_number,"Contracted power exceeds 3.5 GW at end Q1 2026; YE2026 guidance raised to >4 GW; >75% owned",verified,high,"LEAD-Q core. Top-tier among pure-play neoclouds"
C019,SRC-002,Power,NBIS,Q1-2026,qualitative,"NBIS defines power in 3 stages: contracted -> connected -> active. Connected target 800MW-1GW by YE2026",verified,high,"Gap contracted->active IS the bottleneck"
C020,SRC-003,Power,NBIS,YE2025,reported_number,"Active power (live revenue-generating) ~170 MW at YE2025 (vs 100MW target)",verified,medium,"NO Q1 2026 active-power figure disclosed — key withheld number"
C021,SRC-015,Power,NBIS,Q3-2025,qualitative,"Volozh: 'Capacity today is the main bottleneck to revenue growth'; CFO: revenue 'limited only by the capacity we were able to bring online'",verified,high,"Management names capacity (not power supply, not GPUs, not capital) as THE constraint"
C022,SRC-016,Power,NBIS,2026-03,qualitative,"Volozh: 'The physical world simply cannot build data centers fast enough... massive shortages in basic physical components, like transformers and gas generators'",verified,high,"Long-lead electrical equipment is the hard sub-constraint"
C023,SRC-016,Power,NBIS,2026-03,qualitative,"Volozh: GPU allocation was 'last year's challenge'; now constraints go 'deeper into the silicon' (memory). GPU supply de-risked via NVIDIA partnership",verified,high,"GPU NOT the current bottleneck"
C024,SRC-013,Power,NBIS,2025-03,reported_number,"New Jersey (Vineland) up to 300MW, partner-built (DataOne); ~85% power self-generated on-site from natural gas (off-grid microgrid), ~15% utility",verified,medium,"Serves Microsoft contract; bypasses PJM interconnection queue"
C025,SRC-010,Power,NBIS,2026-05,contract_term,"Bloom Energy deal: up to $2.6B service fees, 328MW installed / 250MW guaranteed, three 10-yr phases; Bloom installs/operates, NBIS is offtaker",needs_audit,medium,"Secondary-sourced (CNBC/Crypto Briefing); rationale = bypass utility interconnection queues"
C026,SRC-012,Power,NBIS,2026-05,reported_number,"Missouri (Independence) up to 1.2GW, broke ground 2026-05-12, ops ~2027; municipal utility Independence Power & Light (Blue Valley gas plant rebuild)",verified,medium,"NBIS does NOT own generation; utility/partner does"
C027,SRC-011,Power,NBIS,2026-03,reported_number,"Finland Lappeenranta up to 310MW under construction, first capacity 2027; Mantsala flagship 75MW operational (PUE ~1.1-1.13)",verified,medium,"Nordic = clean + free cooling"
C028,SRC-002,BusinessModel,NBIS,Q1-2026,qualitative,"NBIS builds/owns DATA CENTERS, not power plants; >75% owned facilities (3GW across 5 sites) drawing contracted grid/utility power + behind-the-meter gas at some US sites",verified,high,"Directly answers user premise: NBIS does not build power plants"
C029,SRC-014,Power,NBIS,Q1-2026,qualitative,"Demand vastly exceeds supply: pipeline +~3.5x QoQ; '4+ customers competing for every GPU we bring online'; 'everything we build is sold'; raised prices and still sold out",verified,high,"Demand NOT a constraint"
C030,SRC-018,Valuation,NBIS,2026-06-18,market_data,"Price ~$287.73 intraday (ATH $298.61 6/18); 52-wk range $43.89-$298.61; basic shares 253.9M; market cap ~$73B basic / ~$89B diluted; EV ~$72.5B",needs_audit,medium,"Aggregator-sourced, intraday; volatile. Diluted wtd-avg shares 308.97M (primary)"
C031,SRC-018,Valuation,NBIS,2026-06-18,market_data,"EV/Rev FY25 ~136x (TTM ~82x); EV/Rev FY26E ~21x; EV/ARR current ~38x; EV/ARR on FY26-exit $7-9B ~8-10x",needs_audit,medium,"Forward EV/Sales is the only defensible anchor at 200%+ growth"
C032,SRC-002,Valuation,NBIS,FY2026,guidance,"FY2026 guidance: revenue $3.0-3.4B; ARR exit $7-9B; adj EBITDA margin ~40%; capex $20-25B",disputed,medium,"Capex $ is call/secondary-sourced (C033); written materials guide on power (>4GW) not capex $"
C033,SRC-018,Valuation,NBIS,FY2026,guidance,"Some June-2026 secondary snippets cite capex $31-35B (vs call $20-25B), paired with a non-matching '$6.8B Q1' figure",needs_audit,low,"Likely error or later revision; confirm against Q2 2026 6-K (~Aug 2026)"
