source_id,claim,value,unit,as_of,retrieved_at,source_type,source_url_or_path,reliability_note,destination
YAHOO-GEV-PRICE,GEV last close on/before 2026-06-19,1109.73,USD,2026-06-18,2026-06-21,B1,https://query1.finance.yahoo.com/v8/finance/chart/GEV,Yahoo chart API; confirmed 2 independent sources (Yahoo + stockanalysis),EVIDENCE
YAHOO-GEV-PRICE,GEV 52-week high,1181.95,USD,2026-06-18,2026-06-21,B1,https://query1.finance.yahoo.com/v8/finance/chart/GEV,Yahoo chart API; cross-checked stockanalysis.com same value,EVIDENCE
YAHOO-GEV-PRICE,GEV 52-week low,479.04,USD,2026-06-18,2026-06-21,B1,https://query1.finance.yahoo.com/v8/finance/chart/GEV,Yahoo chart API; cross-checked stockanalysis.com same value,EVIDENCE
GEV-SA-STATS,GEV shares outstanding,268.72,M shares,2026-06-18,2026-06-21,B1,https://stockanalysis.com/stocks/gev/,268.72M per stockanalysis.com; also 268.72M float shown,EVIDENCE
GEV-SA-STATS,GEV market cap at $1109.73,298210,USD M,2026-06-18,2026-06-21,B1,https://stockanalysis.com/stocks/gev/,268.72M x $1109.73 = $298.2B; cross-checked,EVIDENCE
GEV-SA-STATS,GEV enterprise value (trailing),292190,USD M,2026-06-18,2026-06-21,B1,https://stockanalysis.com/stocks/gev/statistics/,EV from stockanalysis; net cash ~$6B subtracted from mktcap,EVIDENCE
GEV-8K-4Q25-ER,GEV FY2025 total revenue,38068,USD M,2025-12-31,2026-06-21,A1,https://www.gevernova.com/sites/default/files/gev_webcast_pressrelease_01282026.pdf,+9% GAAP / +9% organic; cross-checked stockanalysis.com,EVIDENCE
GEV-8K-4Q25-ER,GEV FY2025 GAAP operating income,1388,USD M,2025-12-31,2026-06-21,A1,https://www.gevernova.com/sites/default/files/gev_webcast_pressrelease_01282026.pdf,+$917M vs FY2024 $471M,EVIDENCE
GEV-8K-4Q25-ER,GEV FY2025 GAAP net income,4884,USD M,2025-12-31,2026-06-21,A1,https://www.gevernova.com/sites/default/files/gev_webcast_pressrelease_01282026.pdf,includes ~$2.9B tax valuation allowance release; normalized ~$2.0B,EVIDENCE
GEV-8K-4Q25-ER,GEV FY2025 tax valuation allowance release (one-off),2900,USD M,2025-12-31,2026-06-21,A1,https://www.gevernova.com/news/articles/ge-vernova-releases-fourth-quarter-full-year-2025-financial,U.S. deferred tax asset release; non-cash non-recurring,EVIDENCE
GEV-8K-4Q25-ER,GEV FY2025 adj EBITDA,3196,USD M,2025-12-31,2026-06-21,A1,https://www.gevernova.com/sites/default/files/gev_webcast_pressrelease_01282026.pdf,8.4% adj EBITDA margin,EVIDENCE
GEV-8K-4Q25-ER,GEV FY2025 adj EBITDA margin,8.4,%,2025-12-31,2026-06-21,A1,https://www.gevernova.com/sites/default/files/gev_webcast_pressrelease_01282026.pdf,Q4 2025 alone: 10.6% adj EBITDA margin = $1154M,EVIDENCE
GEV-8K-4Q25-ER,GEV FY2025 OCF,4987,USD M,2025-12-31,2026-06-21,A1,https://www.gevernova.com/sites/default/files/gev_webcast_pressrelease_01282026.pdf,cross-checked stockanalysis.com $4987M — match,EVIDENCE
GEV-SA-FINANCIALS,GEV FY2025 capex (PP&E),1277,USD M,2025-12-31,2026-06-21,B1,https://stockanalysis.com/stocks/gev/financials/cash-flow-statement/,cross-checked vs press release,EVIDENCE
GEV-8K-4Q25-ER,GEV FY2025 FCF,3710,USD M,2025-12-31,2026-06-21,A1,https://www.gevernova.com/sites/default/files/gev_webcast_pressrelease_01282026.pdf,>2x FY2024; stockanalysis shows $3710M match,EVIDENCE
GEV-8K-4Q25-ER,GEV FY2025 total orders,59300,USD M,2025-12-31,2026-06-21,A1,https://www.gevernova.com/sites/default/files/gev_webcast_pressrelease_01282026.pdf,+34% organic; book-to-bill ~1.56x on $38.1B revenue,EVIDENCE
GEV-8K-4Q25-ER,GEV YE2025 total backlog/RPO,150200,USD M,2025-12-31,2026-06-21,A1,https://www.gevernova.com/news/articles/ge-vernova-releases-fourth-quarter-full-year-2025-financial,grew $31.2B in 2025 (25%+); prior year ~$119B,EVIDENCE
GEV-SA-FINANCIALS,GEV Power segment FY2025 revenue (derived),19767,USD M,2025-12-31,2026-06-21,B1,https://stockanalysis.com/stocks/gev/financials/,triangulated from FY2024 disclosed splits Power $18127M/Wind $9701M/Elec $7550M; growth rates applied; OPEN pending 10-K,EVIDENCE
GEV-SA-FINANCIALS,GEV Wind segment FY2025 revenue (derived),9110,USD M,2025-12-31,2026-06-21,B1,https://stockanalysis.com/stocks/gev/financials/,consistent with Q3 cumulative data; Wind down-mid-single-digits; OPEN pending 10-K,EVIDENCE
GEV-SA-FINANCIALS,GEV Electrification segment FY2025 revenue (derived),9191,USD M,2025-12-31,2026-06-21,B1,https://stockanalysis.com/stocks/gev/financials/,=$38068M-$19767M-$9110M; Elec grew ~22% vs $7550M prior,EVIDENCE
GEV-8K-4Q25-ER,GEV gas turbine GW at YE2025 (firm + reservations),83,GW,2025-12-31,2026-06-21,A1,https://www.gevernova.com/sites/default/files/gev_webcast_pressrelease_01282026.pdf,up from 62 GW at YE2024,EVIDENCE
GEV-8K-4Q25-ER,GEV FY2025 shareholder returns total,3600,USD M,2025-12-31,2026-06-21,A1,https://www.gevernova.com/sites/default/files/gev_webcast_pressrelease_01282026.pdf,buybacks + dividends combined,EVIDENCE
GEV-SA-FINANCIALS,GEV YE2025 cash,8848,USD M,2025-12-31,2026-06-21,B1,https://stockanalysis.com/stocks/gev/financials/balance-sheet/,cross-checked with press release,EVIDENCE
