source_id,claim,value,unit,as_of,retrieved_at,source_type,destination,reliability_note
S001,Q1 2026 total revenue (quarter ended 2026-03-31),56311,USD_millions,2026-03-31,2026-06-19,A1,EVIDENCE,"+33% Y/Y; advertising-driven; +29% constant-currency"
S001,Q1 2026 advertising revenue,55024,USD_millions,2026-03-31,2026-06-19,A1,EVIDENCE,"vs 41392 prior year"
S001,Q1 2026 Family of Apps revenue,55909,USD_millions,2026-03-31,2026-06-19,A1,EVIDENCE,"includes 885M other revenue"
S001,Q1 2026 Reality Labs revenue,402,USD_millions,2026-03-31,2026-06-19,A1,EVIDENCE,"down from 412 prior year"
S001,Q1 2026 Family of Apps operating income,26900,USD_millions,2026-03-31,2026-06-19,A1,EVIDENCE,"core profit engine; ~48% segment margin"
S001,Q1 2026 Reality Labs operating loss,-4028,USD_millions,2026-03-31,2026-06-19,A1,EVIDENCE,"vs -4210 prior year; ~16B annualized"
S001,Q1 2026 total income from operations,22872,USD_millions,2026-03-31,2026-06-19,A1,EVIDENCE,"+30% Y/Y"
S001,Q1 2026 operating margin,41,percent,2026-03-31,2026-06-19,A1,EVIDENCE,"flat Y/Y at 41%"
S001,Q1 2026 total costs and expenses,33439,USD_millions,2026-03-31,2026-06-19,A1,EVIDENCE,"+35% Y/Y; R&D 17699, M&S 2908, G&A 2614"
S001,Q1 2026 net income,26773,USD_millions,2026-03-31,2026-06-19,A1,EVIDENCE,"+61% Y/Y; INCLUDES 8.03B one-time discrete tax benefit"
S001,Q1 2026 diluted EPS,10.44,USD,2026-03-31,2026-06-19,A1,EVIDENCE,"+62% Y/Y; inflated by tax benefit"
S001,Q1 2026 effective tax rate,-23,percent,2026-03-31,2026-06-19,A1,EVIDENCE,"negative due to 8.03B benefit; ex-benefit ~14%"
S001,Q1 2026 one-time discrete tax benefit,8030,USD_millions,2026-03-31,2026-06-19,A1,EVIDENCE,"partially offsets 15.93B Q3 2025 OBBBA charge; NON-recurring"
S001,Q1 2026 income before income taxes,21752,USD_millions,2026-03-31,2026-06-19,A1,EVIDENCE,"pretax; ex-benefit NI ~18.7B at 14% rate"
S001,Q1 2026 cash equivalents and marketable securities,81180,USD_millions,2026-03-31,2026-06-19,A1,EVIDENCE,"total liquidity"
S001,Q1 2026 long-term debt,58748,USD_millions,2026-03-31,2026-06-19,A1,EVIDENCE,"up sharply from prior years; debt-funded capex"
S001,Q1 2026 total stockholders equity,243681,USD_millions,2026-03-31,2026-06-19,A1,EVIDENCE,"total assets 395250"
S001,Q1 2026 net cash position (cash+sec minus LT debt),22432,USD_millions,2026-03-31,2026-06-19,A1,EVIDENCE,"81.18B - 58.748B; thinner than 2022 31.9B"
S001,Q1 2026 cash flow from operating activities,32226,USD_millions,2026-03-31,2026-06-19,A1,EVIDENCE,"+34% Y/Y"
S001,Q1 2026 purchases of property and equipment,18997,USD_millions,2026-03-31,2026-06-19,A1,EVIDENCE,"vs 12941 prior year"
S001,Q1 2026 capital expenditures incl finance leases,19840,USD_millions,2026-03-31,2026-06-19,A1,EVIDENCE,"PP&E + principal payments on finance leases"
S001,Q1 2026 free cash flow,12390,USD_millions,2026-03-31,2026-06-19,A1,EVIDENCE,"OCF 32.23B minus capex; ~49.6B annualized"
S001,Q1 2026 headcount,77986,persons,2026-03-31,2026-06-19,A1,EVIDENCE,"+1% Y/Y"
